,iquitos, 4S, 73W, air_temperature, dew_point_temperature,relative_humidity, specific_humidity,Unnamed: 7
40,1979,2,9,299.07,293.98,76.15,15.51, 
41,1979,2,10,300.06,294.3,71.1,15.79, 
42,1979,2,11,299.87,294.57,77.33,16.11, 
43,1979,2,12,298.76,295.12,84.97,16.69, 
44,1979,2,13,299.61,295.45,80.5,17, 
45,1979,2,14,299.91,295.8,81.57,17.4, 
46,1979,2,15,299.65,294.75,76.23,16.22, 
47,1979,2,16,300.93,294.2,71.12,15.8, 
48,1979,2,17,299.81,294.12,72.35,15.7, 
49,1979,2,18,299.96,293.77,71.97,15.39, 
50,1979,2,19,298.8,295.7,84.12,17.24, 
51,1979,2,20,299.38,294.6,80.12,16.13, 
52,1979,2,21,299.63,295.48,82.35,17.04, 
53,1979,2,22,297.05,296,94.1,17.53, 
54,1979,2,23,297.06,294.95,88.43,16.57, 
55,1979,2,24,296.81,295.9,94.98,17.61, 
56,1979,2,25,299.19,295.17,83.05,16.73, 
57,1979,2,26,298.05,297.17,95.12,18.91, 
58,1979,2,27,297.55,295.9,91.85,17.44, 
59,1979,2,28,297.62,295.15,87.08,16.67, 
60,1979,3,1,297.29,296.36,94.83,17.99, 
61,1979,3,2,297.32,296.92,97.85,18.55, 
62,1979,3,3,297.76,296.49,93.45,18.13, 
63,1979,3,4,297.46,296.88,96.8,18.55, 
64,1979,3,5,297.54,297.23,98.25,18.93, 
65,1979,3,6,298.09,296.75,93.15,18.35, 
66,1979,3,7,297.17,296.7,97.5,18.39, 
67,1979,3,8,296.18,296.08,99.5,17.61, 
68,1979,3,9,294.36,294.25,99.7,15.75, 
69,1979,3,10,294.55,294.05,97.45,15.57, 
70,1979,3,11,295.3,293.67,91.05,15.22, 
71,1979,3,12,297.37,294.47,85.25,16.04, 
72,1979,3,13,298.68,295.4,83.7,16.93, 
73,1979,3,14,298.69,295.32,83.25,16.84, 
74,1979,3,15,297.96,296.98,94.65,18.65, 
75,1979,3,16,298.95,296.7,89.45,18.27, 
76,1979,3,17,297.79,296.77,94.78,18.44, 
77,1979,3,18,297.28,296.23,94.5,17.85, 
78,1979,3,19,296.68,295.95,96.05,17.6, 
79,1979,3,20,297.16,296.93,98.8,18.6, 
80,1979,3,21,296.3,296.02,98.55,17.55, 
81,1979,3,22,296.79,296.38,97.65,18.05, 
82,1979,3,23,298.3,297,93.38,18.65, 
83,1979,3,24,298.02,297.33,96.1,19.05, 
84,1979,3,25,297.11,297,99.55,18.63, 
85,1979,3,26,296.69,296.22,97.47,17.75, 
86,1979,3,27,296.19,295.1,94.25,16.56, 
87,1979,3,28,296.63,295.48,93.9,17.13, 
88,1979,3,29,297.53,296.85,96.35,18.54, 
89,1979,3,30,297.79,297.22,96.7,18.9, 
90,1979,3,31,297.18,297,98.9,18.61, 
91,1979,4,1,296.78,296.25,97.1,17.86, 
92,1979,4,2,297.62,294.55,85.8,16.05, 
93,1979,4,3,296.91,295.4,92.1,16.9, 
94,1979,4,4,298.14,296.5,90.9,18.18, 
95,1979,4,5,298.17,297.55,96.5,19.27, 
96,1979,4,6,298.01,297.75,98.45,19.45, 
97,1979,4,7,296.95,295.83,94.2,17.36, 
98,1979,4,8,293.96,291.74,87.85,13.4, 
99,1979,4,9,295.91,292.25,81.17,13.86, 
100,1979,4,10,296.83,292.92,80.75,14.45, 
101,1979,4,11,297.41,295.68,91.43,17.17, 
102,1979,4,12,297.28,296.3,94.82,17.87, 
103,1979,4,13,297.32,296.62,96.05,18.32, 
104,1979,4,14,298.05,297.2,95.45,18.87, 
105,1979,4,15,297.71,297.47,98.7,19.16, 
106,1979,4,16,297.36,297.05,98.4,18.7, 
107,1979,4,17,297.66,297.25,97.88,18.96, 
108,1979,4,18,296.97,296.78,99.03,18.39, 
109,1979,4,19,296.05,295,94.5,16.48, 
110,1979,4,20,296.53,294.55,89.65,16.05, 
111,1979,4,21,297.93,295.9,88.85,17.53, 
112,1979,4,22,297.63,296.48,93.95,18.14, 
113,1979,4,23,297.6,297.42,99.03,19.11, 
114,1979,4,24,295.76,295.65,99.57,17.14, 
115,1979,4,25,295.54,295.42,99.4,16.88, 
116,1979,4,26,295.94,295.17,95.77,16.64, 
117,1979,4,27,296.12,295.55,96.82,17.11, 
118,1979,4,28,296.52,296.05,97.38,17.63, 
119,1979,4,29,296.92,296.4,97.33,18.07, 
120,1979,4,30,297.6,296.85,95.98,18.56, 
121,1979,5,1,297.55,296.97,96.88,18.64, 
122,1979,5,2,297.14,295.77,93.03,17.28, 
123,1979,5,3,297.2,296.65,96.9,18.24, 
124,1979,5,4,296.9,296.25,96.47,17.8, 
125,1979,5,5,297.92,295.5,88.88,16.93, 
126,1979,5,6,296.49,295.9,96.78,17.5, 
127,1979,5,7,297.64,294.75,87.42,16.23, 
128,1979,5,8,296.84,295.5,92.88,16.96, 
129,1979,5,9,297.35,295.95,92.83,17.45, 
130,1979,5,10,296.2,295.42,95.68,16.95, 
131,1979,5,11,297.92,295.27,88.1,16.75, 
132,1979,5,12,298.31,296.05,89.55,17.56, 
133,1979,5,13,297.8,296.1,91.65,17.61, 
134,1979,5,14,297.19,296.85,98.12,18.49, 
135,1979,5,15,297.89,296.85,94.4,18.48, 
136,1979,5,16,297.69,297.15,97.05,18.87, 
137,1979,5,17,297.26,296.35,95.1,17.92, 
138,1979,5,18,297.74,297.35,97.95,19.08, 
139,1979,5,19,297.75,297.23,97.25,18.93, 
140,1979,5,20,296.98,296.75,98.65,18.37, 
141,1979,5,21,297.22,296.82,98,18.47, 
142,1979,5,22,297.34,295.9,92.8,17.4, 
143,1979,5,23,296.58,296.3,98.5,17.84, 
144,1979,5,24,296.8,296.52,98.47,18.06, 
145,1979,5,25,296.2,296.1,99.7,17.61, 
146,1979,5,26,296.84,294.4,89.02,15.88, 
147,1979,5,27,297.71,294.28,83.9,15.77, 
148,1979,5,28,296.18,295.7,97.57,17.33, 
149,1979,5,29,297.86,295.73,89.93,17.26, 
150,1979,5,30,298.72,295.6,85.45,17.13, 
151,1979,5,31,296.63,296.42,98.95,17.94, 
152,1979,6,1,295.18,291.77,83.53,13.45, 
153,1979,6,2,296.68,292.42,79.9,14.02, 
154,1979,6,3,298.22,293.08,76.78,14.61, 
155,1979,6,4,298.26,293.67,77.38,15.18, 
156,1979,6,5,299.35,293.3,71.53,14.84, 
157,1979,6,6,297.77,294.5,85,15.96, 
158,1979,6,7,295.89,295.1,95.68,16.56, 
159,1979,6,8,296.87,293.38,84.98,14.88, 
160,1979,6,9,297.34,294.05,84.33,15.49, 
161,1979,6,10,296.58,294.05,88.07,15.49, 
162,1979,6,11,296.54,292.5,82.58,14.12, 
163,1979,6,12,297.16,293.17,79.12,14.7, 
164,1979,6,13,296.06,294,88.32,15.43, 
165,1979,6,14,296.69,293.45,83.5,14.97, 
166,1979,6,15,294.94,294.5,97.57,15.91, 
167,1979,6,16,296.32,293.08,85.03,14.57, 
168,1979,6,17,292.89,291.17,90.82,13.05, 
169,1979,6,18,294.72,291.77,86.17,13.4, 
170,1979,6,19,295.8,290.22,75.28,12.24, 
171,1979,6,20,296.37,292.2,78.8,13.77, 
172,1979,6,21,296.58,294.05,86.7,15.46, 
173,1979,6,22,296.49,294.62,90.52,16.09, 
174,1979,6,23,296.46,295.77,96.15,17.23, 
175,1979,6,24,298.35,294.02,80.1,15.49, 
176,1979,6,25,296.5,295.52,94.4,16.98, 
177,1979,6,26,297.07,295.75,92.83,17.24, 
178,1979,6,27,297.84,294.08,84.7,15.56, 
179,1979,6,28,296.59,293.55,86.23,14.99, 
180,1979,6,29,297.32,292.42,76.33,13.98, 
181,1979,6,30,297.48,293.23,79.67,14.72, 
182,1979,7,1,297.41,293.38,79.38,14.85, 
183,1979,7,2,298.39,293.52,76.42,15, 
184,1979,7,3,297.85,293.7,81.25,15.2, 
185,1979,7,4,296.56,296,96.65,17.46, 
186,1979,7,5,296.47,295.82,96.38,17.25, 
187,1979,7,6,296.39,295.88,97.2,17.28, 
188,1979,7,7,294.38,293.85,97.07,15.25, 
189,1979,7,8,295.58,292.9,86.6,14.42, 
190,1979,7,9,296.51,292.22,78.55,13.79, 
191,1979,7,10,296.09,292.7,81.53,14.17, 
192,1979,7,11,295.66,293.27,87.2,14.72, 
193,1979,7,12,295.19,291.8,81.97,13.4, 
194,1979,7,13,294.77,290.15,79.3,12.15, 
195,1979,7,14,294.71,290.92,79.93,12.8, 
196,1979,7,15,295.82,291.9,78.83,13.59, 
197,1979,7,16,296.98,293.73,84.17,15.21, 
198,1979,7,17,295.98,293.73,87.25,15.29, 
199,1979,7,18,296.84,293.43,84.83,14.94, 
200,1979,7,19,296.39,293.17,82.55,14.69, 
201,1979,7,20,295.85,294.77,94.05,16.24, 
202,1979,7,21,295.9,295.2,96.25,16.66, 
203,1979,7,22,296.32,292.53,84.82,14.16, 
204,1979,7,23,296.92,292.25,78.07,13.86, 
205,1979,7,24,296.79,295.53,92.78,17.02, 
206,1979,7,25,296.14,294.25,90.95,15.79, 
207,1979,7,26,296.12,295.33,95.5,16.82, 
208,1979,7,27,296.84,295.75,94.38,17.25, 
209,1979,7,28,296.68,295.23,92.47,16.65, 
210,1979,7,29,297.86,292.8,78.7,14.36, 
211,1979,7,30,299.17,291.75,66.42,13.45, 
212,1979,7,31,298.24,291.27,69.05,13.03, 
213,1979,8,1,299.65,291.2,62.8,13.02, 
214,1979,8,2,299.18,292.58,67.05,14.21, 
215,1979,8,3,300.14,292.73,66,14.3, 
216,1979,8,4,298.19,295,83.75,16.48, 
217,1979,8,5,297.3,293.88,82.8,15.34, 
218,1979,8,6,296.34,294.75,91.85,16.18, 
219,1979,8,7,296.3,293.57,87.22,15.03, 
220,1979,8,8,297.17,294.32,84.9,15.78, 
221,1979,8,9,296.86,295.03,90.55,16.44, 
222,1979,8,10,298.15,293.92,79.03,15.35, 
223,1979,8,11,299.73,292.95,70.78,14.53, 
224,1979,8,12,299.98,293.5,68.7,15.02, 
225,1979,8,13,297.22,294.08,84.95,15.54, 
226,1979,8,14,296.02,292.98,83.32,14.54, 
227,1979,8,15,297.43,294.88,86.22,16.43, 
228,1979,8,16,297.75,296.78,94.5,18.39, 
229,1979,8,17,296.92,294.75,89.5,16.21, 
230,1979,8,18,297.17,294.7,86.9,16.19, 
231,1979,8,19,297.41,293.45,79.88,14.97, 
232,1979,8,20,297.06,293.42,80.72,15.05, 
233,1979,8,21,298.23,294.48,83.82,15.96, 
234,1979,8,22,297.54,295.3,87.88,16.83, 
235,1979,8,23,298.03,294.05,81.13,15.55, 
236,1979,8,24,298.59,294.15,81.18,15.71, 
237,1979,8,25,298.84,294.62,80.7,16.15, 
238,1979,8,26,300.3,294.9,75.8,16.44, 
239,1979,8,27,298.62,296.38,88.28,18.01, 
240,1979,8,28,298.89,295.65,85.53,17.22, 
241,1979,8,29,299.5,295.3,82.83,16.84, 
242,1979,8,30,297.41,296.17,93.23,17.76, 
243,1979,8,31,298.7,295.75,85.8,17.27, 
244,1979,9,1,300.9,293.05,67,14.75, 
245,1979,9,2,300.88,293.12,62.75,14.8, 
246,1979,9,3,298.82,294.98,80.62,16.48, 
247,1979,9,4,297.08,294.65,86.93,16.17, 
248,1979,9,5,296.87,295.8,93.95,17.31, 
249,1979,9,6,296.22,295.62,96.72,17.15, 
250,1979,9,7,297.74,293.7,84.2,15.21, 
251,1979,9,8,299.08,294.42,76.03,16.01, 
252,1979,9,9,297.51,295.65,89.75,17.15, 
253,1979,9,10,297.13,293.55,83.4,15.05, 
254,1979,9,11,297.82,293.45,80.85,14.99, 
255,1979,9,12,299.35,293.27,71.72,14.82, 
256,1979,9,13,302.1,293.5,60.85,15.04, 
257,1979,9,14,297.82,295.1,85.8,16.54, 
258,1979,9,15,298.35,292.58,74.75,14.23, 
259,1979,9,16,301.42,293.8,66.45,15.37, 
260,1979,9,17,302.59,291.25,54.18,13.13, 
261,1979,9,18,299.92,292.83,65.82,14.39, 
262,1979,9,19,296.64,295.58,94.08,17.09, 
263,1979,9,20,296.49,295.12,92.9,16.56, 
264,1979,9,21,297.97,293.3,79.57,14.81, 
265,1979,9,22,299.28,293.55,72.85,15.05, 
266,1979,9,23,300.72,293.5,66.22,15.02, 
267,1979,9,24,301.38,291.8,57.78,13.55, 
268,1979,9,25,300.47,292.47,62.82,14.11, 
269,1979,9,26,297.64,296.65,94.65,18.31, 
270,1979,9,27,299.11,294.45,82.1,16, 
271,1979,9,28,301.01,292.05,61.43,13.74, 
272,1979,9,29,301.78,291.12,56.72,13.05, 
273,1979,9,30,301.64,292.27,57.97,13.95, 
274,1979,10,1,301.57,292.62,60.35,14.24, 
275,1979,10,2,298.14,294.35,80.4,15.86, 
276,1979,10,3,297.88,294.95,86.8,16.4, 
277,1979,10,4,299.93,293.33,68.25,14.85, 
278,1979,10,5,300.27,294.2,72.72,15.73, 
279,1979,10,6,299.11,294.4,76.28,15.87, 
280,1979,10,7,297.84,295.83,88.9,17.38, 
281,1979,10,8,299.92,294.6,78.38,16.08, 
282,1979,10,9,299.75,295.3,79.88,16.8, 
283,1979,10,10,301.06,293.65,66.62,15.11, 
284,1979,10,11,299.81,293.92,71.35,15.38, 
285,1979,10,12,299.87,293.62,70.4,15.1, 
286,1979,10,13,299.15,293.92,74.07,15.39, 
287,1979,10,14,299.94,293.32,69.98,14.89, 
288,1979,10,15,302.3,293.89,62.55,15.47, 
289,1979,10,16,298.03,296.52,91.75,18.1, 
290,1979,10,17,298.21,296.14,89.8,17.67, 
291,1979,10,18,299.18,294.23,80.08,15.87, 
292,1979,10,19,300.21,294.18,69.48,15.82, 
293,1979,10,20,300.64,295.26,74.68,16.76, 
294,1979,10,21,300.48,294.02,69.95,15.55, 
295,1979,10,22,300.7,295.2,74.82,16.74, 
296,1979,10,23,301.67,292.95,60.85,14.61, 
297,1979,10,24,301.14,294.29,68.12,15.83, 
298,1979,10,25,300.66,295.33,73.15,16.9, 
299,1979,10,26,300.04,296.6,84.77,18.24, 
300,1979,10,27,297.57,296.75,95.45,18.37, 
301,1979,10,28,296.16,294.92,93.45,16.47, 
302,1979,10,29,297.88,294.9,84.03,16.53, 
303,1979,10,30,299.44,296.55,86.08,18.17, 
304,1979,10,31,301.41,293.97,69.03,15.64, 
305,1979,11,1,302.2,293.95,61.03,15.61, 
306,1979,11,2,300.46,295.53,75.3,17.17, 
307,1979,11,3,300.05,295.62,80.18,17.21, 
308,1979,11,4,299.08,296.25,84.9,17.91, 
309,1979,11,5,299.27,296.2,86.33,17.86, 
310,1979,11,6,300.47,294.55,70.8,16.12, 
311,1979,11,7,299.89,296.6,84.72,18.3, 
312,1979,11,8,300.51,295.32,74.62,16.91, 
313,1979,11,9,299.58,296.05,84.3,17.67, 
314,1979,11,10,296.55,296.33,98.75,17.89, 
315,1979,11,11,297.92,294.96,87,16.46, 
316,1979,11,12,299.85,294.42,77.7,16.06, 
317,1979,11,13,301.65,292.57,59.55,14.27, 
318,1979,11,14,300.4,295.04,73.75,16.83, 
319,1979,11,15,297.25,296.52,96.05,18.17, 
320,1979,11,16,297.84,293.85,80.3,15.35, 
321,1979,11,17,296.22,295.62,96.57,17.12, 
322,1979,11,18,298.79,293.07,76.22,14.7, 
323,1979,11,19,300.26,294.88,72.6,16.51, 
324,1979,11,20,299.54,295.88,84.43,17.52, 
325,1979,11,21,298.68,294.26,83,15.89, 
326,1979,11,22,300.3,295.8,80.47,17.45, 
327,1979,11,23,300.63,296.29,81.8,18.01, 
328,1979,11,24,299.08,297.15,89.88,18.95, 
329,1979,11,25,299.91,295.78,83.1,17.38, 
330,1979,11,26,298.83,297.28,91.6,19, 
331,1979,11,27,297.3,294.77,87.88,16.29, 
332,1979,11,28,296,292.89,83.07,14.44, 
333,1979,11,29,299.19,292.3,71.05,13.96, 
334,1979,11,30,299.67,295.24,77.72,16.79, 
335,1979,12,1,299.35,293.75,74.6,15.27, 
336,1979,12,2,299.16,294.78,79.38,16.29, 
337,1979,12,3,299.05,294.65,78.98,16.15, 
338,1979,12,4,299.42,293.74,72.35,15.29, 
339,1979,12,5,300.12,295.24,79.58,16.83, 
340,1979,12,6,297.97,297.03,94.75,18.73, 
341,1979,12,7,298.04,297.44,96.78,19.17, 
342,1979,12,8,296.44,295.7,95.88,17.18, 
343,1979,12,9,297.56,293.41,82.6,14.94, 
344,1979,12,10,300.73,293.24,66.5,14.82, 
345,1979,12,11,297.39,296.95,97.78,18.7, 
346,1979,12,12,297.14,296.82,98.28,18.46, 
347,1979,12,13,298.26,296.39,90.88,17.99, 
348,1979,12,14,298.48,296,88.65,17.57, 
349,1979,12,15,297.93,296.91,94.5,18.58, 
350,1979,12,16,296.87,296.73,99.2,18.32, 
351,1979,12,17,296.52,296.32,98.88,17.86, 
352,1979,12,18,296.89,295.67,93.52,17.17, 
353,1979,12,19,297.52,295.19,88.2,16.69, 
354,1979,12,20,298.64,294.88,80.7,16.41, 
355,1979,12,21,297.76,295.88,89.47,17.52, 
356,1979,12,22,299.43,294.85,80.43,16.5, 
357,1979,12,23,299.65,294.07,71.68,15.66, 
358,1979,12,24,299.31,294.02,74.7,15.54, 
359,1979,12,25,299.67,294.23,75.95,15.78, 
360,1979,12,26,299.85,294.91,74.77,16.52, 
361,1979,12,27,298.29,296.38,90.15,17.96, 
362,1979,12,28,297.21,296.85,97.97,18.46, 
363,1979,12,29,296.77,294.81,90.53,16.32, 
364,1979,12,30,298.68,294.47,82.95,16.03, 
365,1979,12,31,298.05,296.65,92.38,18.33, 
366,1980,1,1,297.06,296.55,97.15,18.14, 
367,1980,1,2,294.92,294.52,97.82,16.04, 
368,1980,1,3,296.31,295.28,94.15,16.87, 
369,1980,1,4,296.09,294.17,90.08,15.67, 
370,1980,1,5,298.74,293.8,78.18,15.34, 
371,1980,1,6,298.81,294.83,82.43,16.36, 
372,1980,1,7,297.73,295.8,90.47,17.33, 
373,1980,1,8,298.19,296.83,92.62,18.48, 
374,1980,1,9,298.82,295.43,85.9,16.97, 
375,1980,1,10,298.95,294.39,78.05,15.91, 
376,1980,1,11,299.09,293.7,75.7,15.27, 
377,1980,1,12,299.99,292.93,68,14.56, 
378,1980,1,13,300.18,291.62,61.55,13.42, 
379,1980,1,14,299.88,292.42,64.6,14.07, 
380,1980,1,15,298.65,293.11,73.85,14.67, 
381,1980,1,16,298.58,295.7,84.43,17.27, 
382,1980,1,17,300.1,295.86,82.58,17.46, 
383,1980,1,18,298.54,296.98,91.7,18.7, 
384,1980,1,19,297.5,296.57,94.75,18.16, 
385,1980,1,20,299.17,294.43,78.3,15.94, 
386,1980,1,21,298.08,295.66,87.4,17.19, 
387,1980,1,22,297.84,296.84,94.63,18.48, 
388,1980,1,23,297.92,296.91,94.65,18.56, 
389,1980,1,24,298.07,296.51,92.32,18.1, 
390,1980,1,25,297.27,296.58,96.3,18.28, 
391,1980,1,26,297.55,296.69,95.45,18.36, 
392,1980,1,27,297.64,296.62,94.62,18.24, 
393,1980,1,28,297.83,296.38,92.62,17.99, 
394,1980,1,29,299.38,295.66,84.4,17.33, 
395,1980,1,30,300.29,295,75.05,16.58, 
396,1980,1,31,299.88,295.83,81.78,17.46, 
397,1980,2,1,300.41,294.2,72.18,15.78, 
398,1980,2,2,299.89,296.24,83.12,17.86, 
399,1980,2,3,298.03,297.19,95.55,18.94, 
400,1980,2,4,298.78,296.2,87.07,17.79, 
401,1980,2,5,298.63,296.54,89.5,18.22, 
402,1980,2,6,299.04,295.72,85.75,17.3, 
403,1980,2,7,299.04,295.56,84.7,17.14, 
404,1980,2,8,299.68,295.58,81.6,17.18, 
405,1980,2,9,299.08,295.05,81.2,16.6, 
406,1980,2,10,297.83,296.24,91.78,17.91, 
407,1980,2,11,299.78,295.09,80.88,16.72, 
408,1980,2,12,299.38,295.69,80.4,17.33, 
409,1980,2,13,299.34,295.89,83.33,17.43, 
410,1980,2,14,298.03,296.05,90.32,17.6, 
411,1980,2,15,299.56,293.52,74.25,15.1, 
412,1980,2,16,300.93,292.44,62.65,14.11, 
413,1980,2,17,298.33,294.65,80.3,16.18, 
414,1980,2,18,298.14,295.7,88.08,17.19, 
415,1980,2,19,297.49,295.07,88.75,16.53, 
416,1980,2,20,298.87,293.79,79.1,15.31, 
417,1980,2,21,300.67,294.45,74.8,16.08, 
418,1980,2,22,299.89,291.87,67.03,13.63, 
419,1980,2,23,300.53,293.62,67.1,15.21, 
420,1980,2,24,300.51,292.12,62.9,13.88, 
421,1980,2,25,301.13,293.66,66.3,15.24, 
422,1980,2,26,300.99,291.17,56.97,13.02, 
423,1980,2,27,300.16,289.1,56.72,11.47, 
424,1980,2,28,298.74,286.95,52.47,9.94, 
425,1980,2,29,300.39,286.93,45.6,10.02, 
426,1980,3,1,301.66,289.4,50.35,11.68, 
427,1980,3,2,302.26,290.05,50.05,12.12, 
428,1980,3,3,301.52,292.56,58.65,14.28, 
429,1980,3,4,300.57,293.33,68.82,14.95, 
430,1980,3,5,300.45,293.33,66.65,14.91, 
431,1980,3,6,299.38,292.5,67.05,14.15, 
432,1980,3,7,299.44,294.01,75.05,15.57, 
433,1980,3,8,300.21,294.62,72.53,16.13, 
434,1980,3,9,297.46,295.46,90.03,16.99, 
435,1980,3,10,297.46,294.39,84.7,15.89, 
436,1980,3,11,299.31,294.62,79.18,16.19, 
437,1980,3,12,299.29,295.12,83.65,16.7, 
438,1980,3,13,298.24,296.98,93.22,18.65, 
439,1980,3,14,297.31,296.4,95.05,17.98, 
440,1980,3,15,297.54,296.11,92.2,17.7, 
441,1980,3,16,297.06,296.71,98.02,18.29, 
442,1980,3,17,297.36,295.65,90.95,17.17, 
443,1980,3,18,296.85,296.15,96.38,17.74, 
444,1980,3,19,297.35,296.77,96.7,18.41, 
445,1980,3,20,297.53,296.98,96.98,18.67, 
446,1980,3,21,297.42,297.09,98.17,18.77, 
447,1980,3,22,297.19,295.2,90.4,16.69, 
448,1980,3,23,297.64,295.19,87.15,16.68, 
449,1980,3,24,296.92,296.65,98.68,18.24, 
450,1980,3,25,295.92,295.71,98.85,17.2, 
451,1980,3,26,296.66,296.23,97.82,17.88, 
452,1980,3,27,297.14,296.85,98.3,18.49, 
453,1980,3,28,296.4,296.33,99.75,17.86, 
454,1980,3,29,295.18,294.73,97.35,16.15, 
455,1980,3,30,295.77,295.5,98.65,17.02, 
456,1980,3,31,296.61,295.5,94.25,17.02, 
457,1980,4,1,295.43,295.38,99.82,16.85, 
458,1980,4,2,296.92,295.22,91.67,16.71, 
459,1980,4,3,298.16,295.4,87.38,16.92, 
460,1980,4,4,296.77,295.85,94.82,17.35, 
461,1980,4,5,297.72,294.6,84.5,16.1, 
462,1980,4,6,296.64,295.26,92.25,16.78, 
463,1980,4,7,296.79,295.78,94.4,17.27, 
464,1980,4,8,297.05,294.85,89,16.37, 
465,1980,4,9,297.85,294.89,84.68,16.41, 
466,1980,4,10,299.72,294.6,75.93,16.1, 
467,1980,4,11,298.95,295.85,85.55,17.38, 
468,1980,4,12,298.78,295.7,86.65,17.25, 
469,1980,4,13,296.36,296.17,98.83,17.68, 
470,1980,4,14,297.24,294.8,88.43,16.23, 
471,1980,4,15,297.29,296.28,94.43,17.92, 
472,1980,4,16,298.72,295.65,86.72,17.16, 
473,1980,4,17,296.87,296.55,98.15,18.1, 
474,1980,4,18,296.83,295.5,93.3,17, 
475,1980,4,19,296.63,295.77,95.42,17.33, 
476,1980,4,20,297.08,296.73,98,18.3, 
477,1980,4,21,296.87,296.58,98.38,18.2, 
478,1980,4,22,297.22,296.2,94.75,17.76, 
479,1980,4,23,297.87,295.4,88.6,16.89, 
480,1980,4,24,297.45,296.3,93.42,17.87, 
481,1980,4,25,296.86,296.77,99.65,18.37, 
482,1980,4,26,296.65,296.12,96.72,17.61, 
483,1980,4,27,296.78,295.2,92.12,16.7, 
484,1980,4,28,296.76,296.42,98.05,17.98, 
485,1980,4,29,297.74,294.5,86.15,15.96, 
486,1980,4,30,297.9,295.48,87.95,16.99, 
487,1980,5,1,297.36,295.92,92.62,17.49, 
488,1980,5,2,296.63,296.23,97.85,17.82, 
489,1980,5,3,295.9,295.75,99.42,17.24, 
490,1980,5,4,292.28,292.12,99.07,13.71, 
491,1980,5,5,294.2,293,93.62,14.5, 
492,1980,5,6,295.62,293.62,89.42,15.13, 
493,1980,5,7,297.16,294.47,87.9,15.96, 
494,1980,5,8,296.7,296.07,96.65,17.66, 
495,1980,5,9,297.38,294.82,88.58,16.29, 
496,1980,5,10,298.1,295.73,89.02,17.2, 
497,1980,5,11,296.79,295.67,94.07,17.31, 
498,1980,5,12,297.27,296.62,96.48,18.33, 
499,1980,5,13,297.53,296.88,96.45,18.61, 
500,1980,5,14,297.68,297.22,97.23,18.88, 
501,1980,5,15,297.56,295.95,92.1,17.53, 
502,1980,5,16,295.79,295.2,96.43,16.65, 
503,1980,5,17,297.74,295.03,86.12,16.46, 
504,1980,5,18,297.69,296.5,93.45,18.07, 
505,1980,5,19,297.81,296.15,91.93,17.71, 
506,1980,5,20,296.89,296.6,98.37,18.24, 
507,1980,5,21,297.35,296.17,93.93,17.74, 
508,1980,5,22,296.94,296.62,98.25,18.23, 
509,1980,5,23,297.38,297.1,98.62,18.75, 
510,1980,5,24,298.17,295.92,89.47,17.39, 
511,1980,5,25,296.88,294.75,89.98,16.22, 
512,1980,5,26,296.96,295.5,92.5,16.93, 
513,1980,5,27,296.84,295.77,94.07,17.25, 
514,1980,5,28,297.44,296.07,92.88,17.54, 
515,1980,5,29,296.34,296.02,98.38,17.55, 
