,san_juan, 18.5N, 66W, air_temperature, dew_point_temperature,relative_humidity, specific_humidity,Unnamed: 7
83,1979,3,24,296.68,292.75,78.78,14.29, 
84,1979,3,25,298.48,294.9,80.68,16.26, 
85,1979,3,26,298.71,295.58,82.9,16.92, 
86,1979,3,27,298.27,295.42,84.38,16.77, 
87,1979,3,28,297.57,294.45,82.85,15.81, 
88,1979,3,29,296.32,294.05,87.17,15.42, 
89,1979,3,30,296.2,292.17,78.1,13.68, 
90,1979,3,31,295.56,290.25,71.93,12.1, 
91,1979,4,1,295.73,290.18,70.8,12.06, 
92,1979,4,2,296.73,291.85,74.25,13.42, 
93,1979,4,3,297.54,291.92,70.88,13.47, 
94,1979,4,4,297.16,291.1,68.78,12.78, 
95,1979,4,5,297.18,291.58,70.9,13.23, 
96,1979,4,6,297.26,291.35,69.48,12.99, 
97,1979,4,7,296.96,291.12,69.95,12.83, 
98,1979,4,8,296.65,292.77,78.93,14.23, 
99,1979,4,9,297.07,292.45,75.38,13.96, 
100,1979,4,10,298.19,293.32,74.35,14.69, 
101,1979,4,11,298.21,294.05,77.85,15.41, 
102,1979,4,12,297.98,293,74.15,14.47, 
103,1979,4,13,297.5,293.27,77.3,14.71, 
104,1979,4,14,298.27,293.67,75.68,15.05, 
105,1979,4,15,298.32,292.72,71.35,14.22, 
106,1979,4,16,298.66,293.77,74.88,15.22, 
107,1979,4,17,298.89,295.42,81.47,16.82, 
108,1979,4,18,298.66,296.08,85.7,17.44, 
109,1979,4,19,298.77,295.35,81.5,16.75, 
110,1979,4,20,296.83,295.07,89.82,16.41, 
111,1979,4,21,297.55,295.62,89.12,17.01, 
112,1979,4,22,296.93,294.27,85.28,15.65, 
113,1979,4,23,296.39,294.3,88.1,15.66, 
114,1979,4,24,296.94,294.12,84.3,15.48, 
115,1979,4,25,297.47,294.05,81.22,15.4, 
116,1979,4,26,298.06,294.42,80.25,15.77, 
117,1979,4,27,298.72,294.48,77.4,15.86, 
118,1979,4,28,298.93,295.1,79.48,16.47, 
119,1979,4,29,298.61,295.6,83.53,17.01, 
120,1979,4,30,298.44,295.65,84.72,17.03, 
121,1979,5,1,298.76,295.33,81.28,16.65, 
122,1979,5,2,298.96,295.62,81.82,16.99, 
123,1979,5,3,299.36,296.2,82.88,17.58, 
124,1979,5,4,299.34,295.58,80.03,16.97, 
125,1979,5,5,299.14,295,78.02,16.34, 
126,1979,5,6,299.02,295.1,79.05,16.45, 
127,1979,5,7,298.81,295.25,80.68,16.58, 
128,1979,5,8,298.63,296,85.48,17.41, 
129,1979,5,9,298.42,295.95,86.4,17.38, 
130,1979,5,10,297.56,295.23,86.67,16.58, 
131,1979,5,11,297.49,294.85,85.3,16.24, 
132,1979,5,12,298.1,295.05,83.05,16.42, 
133,1979,5,13,298.15,295.35,84.35,16.7, 
134,1979,5,14,298.07,295.67,86.65,17.1, 
135,1979,5,15,298.21,295.88,86.82,17.29, 
136,1979,5,16,298.18,295.95,87.38,17.38, 
137,1979,5,17,298.13,295.83,86.9,17.23, 
138,1979,5,18,298.54,295.85,85.12,17.33, 
139,1979,5,19,296.83,295.35,91.47,16.77, 
140,1979,5,20,296.22,293.65,85.57,15.04, 
141,1979,5,21,297.46,294.3,82.75,15.74, 
142,1979,5,22,298.1,294.25,79.3,15.63, 
143,1979,5,23,298.53,295.88,85.47,17.26, 
144,1979,5,24,298.81,295.62,82.7,16.97, 
145,1979,5,25,298.41,295.9,86.12,17.32, 
146,1979,5,26,298.72,296.3,86.55,17.73, 
147,1979,5,27,298.72,296.38,86.85,17.77, 
148,1979,5,28,298.47,296.17,87.38,17.63, 
149,1979,5,29,298.04,295.67,86.85,17.09, 
150,1979,5,30,297.82,295.95,89.45,17.37, 
151,1979,5,31,298.26,296.27,88.95,17.71, 
152,1979,6,1,299.14,296.98,87.97,18.49, 
153,1979,6,2,299.73,296.9,84.65,18.4, 
154,1979,6,3,299.67,296.98,85.25,18.5, 
155,1979,6,4,299.29,296.68,85.68,18.17, 
156,1979,6,5,299.5,296.95,86,18.48, 
157,1979,6,6,299.25,296.25,83.4,17.63, 
158,1979,6,7,299.65,296.62,83.47,18.08, 
159,1979,6,8,299.84,296.85,83.58,18.31, 
160,1979,6,9,299.25,296.23,83.62,17.7, 
161,1979,6,10,299.53,296.05,81.25,17.48, 
162,1979,6,11,299.13,296.42,85.22,17.95, 
163,1979,6,12,300.41,296.85,80.97,18.36, 
164,1979,6,13,300.48,296.9,80.8,18.35, 
165,1979,6,14,300.07,296.85,82.55,18.32, 
166,1979,6,15,300.28,297.2,83.4,18.7, 
167,1979,6,16,300.29,296.15,78.07,17.53, 
168,1979,6,17,299.96,297.27,85.32,18.77, 
169,1979,6,18,300.5,296.53,79.05,17.89, 
170,1979,6,19,300.61,296.8,79.83,18.22, 
171,1979,6,20,300.78,296.5,77.7,17.88, 
172,1979,6,21,300.37,296.77,80.65,18.16, 
173,1979,6,22,299.96,296.1,79.62,17.49, 
174,1979,6,23,299.75,295.7,78.38,17.04, 
175,1979,6,24,299.57,296.05,81.1,17.43, 
176,1979,6,25,299.27,296.23,83.33,17.62, 
177,1979,6,26,299.32,296.65,85.4,18.08, 
178,1979,6,27,299.3,296.77,86.15,18.23, 
179,1979,6,28,298.87,296.77,88.22,18.22, 
180,1979,6,29,299.22,297.4,89.75,18.94, 
181,1979,6,30,299.51,297.28,87.7,18.8, 
182,1979,7,1,299.36,297.17,87.88,18.65, 
183,1979,7,2,299.77,296.88,84.17,18.3, 
184,1979,7,3,299.91,296.52,81.88,17.92, 
185,1979,7,4,299.97,295.88,78,17.16, 
186,1979,7,5,299.61,296.72,84.15,18.11, 
187,1979,7,6,299.49,297.22,87.4,18.65, 
188,1979,7,7,299.86,297.23,85.8,18.72, 
189,1979,7,8,299.66,297.05,85.82,18.56, 
190,1979,7,9,299.86,296.23,80.57,17.62, 
191,1979,7,10,300.26,296.6,80.35,17.99, 
192,1979,7,11,300.04,296.45,80.82,17.82, 
193,1979,7,12,300.52,296.05,76.65,17.37, 
194,1979,7,13,299.76,296.1,80.48,17.5, 
195,1979,7,14,299.79,296,79.9,17.38, 
196,1979,7,15,299.54,295.6,79,16.94, 
197,1979,7,16,299.35,296.5,84.27,17.9, 
198,1979,7,17,299.7,297.25,86.6,18.81, 
199,1979,7,18,298.44,296.52,89.4,18.05, 
200,1979,7,19,298.69,295.88,84.62,17.27, 
201,1979,7,20,299.43,295.85,80.85,17.24, 
202,1979,7,21,298.56,295.98,85.78,17.35, 
203,1979,7,22,299.13,296.38,84.9,17.78, 
204,1979,7,23,299.04,296.75,87.23,18.16, 
205,1979,7,24,299.62,296.23,81.67,17.58, 
206,1979,7,25,299.78,294.77,74.05,16.15, 
207,1979,7,26,299.56,295.83,80.12,17.21, 
208,1979,7,27,300.18,295.55,75.88,16.92, 
209,1979,7,28,299.47,296.85,85.67,18.3, 
210,1979,7,29,300.22,297.65,86.07,19.22, 
211,1979,7,30,300.13,296.35,80.12,17.8, 
212,1979,7,31,300.14,296.45,80.18,17.86, 
213,1979,8,1,299.68,297.42,87.38,18.97, 
214,1979,8,2,300.42,297.42,83.78,18.95, 
215,1979,8,3,300.64,297.2,81.75,18.72, 
216,1979,8,4,299.77,295.77,78.67,17.12, 
217,1979,8,5,299.58,296.05,81.05,17.44, 
218,1979,8,6,299.77,297.3,86.62,18.86, 
219,1979,8,7,300.59,297.62,84.1,19.19, 
220,1979,8,8,301.18,297.45,80.2,18.96, 
221,1979,8,9,300.07,296.83,82.55,18.24, 
222,1979,8,10,300.31,295.98,77.28,17.32, 
223,1979,8,11,300.14,295.82,77.25,17.19, 
224,1979,8,12,299.89,296.48,81.72,17.9, 
225,1979,8,13,300.47,296.35,78.32,17.74, 
226,1979,8,14,299.53,295.77,80.03,17.16, 
227,1979,8,15,300.03,295.7,77.32,17.1, 
228,1979,8,16,300.48,295.77,75.38,17.15, 
229,1979,8,17,300.25,296.12,78.18,17.53, 
230,1979,8,18,300.15,296.48,80.38,17.93, 
231,1979,8,19,299.94,296.9,83.55,18.39, 
232,1979,8,20,300.54,296.78,80.03,18.27, 
233,1979,8,21,300.21,296.3,79.38,17.74, 
234,1979,8,22,299.71,296.38,82.12,17.84, 
235,1979,8,23,299.32,296.12,82.78,17.58, 
236,1979,8,24,299.84,296.55,82.3,18.07, 
237,1979,8,25,300.14,297.35,84.78,18.91, 
238,1979,8,26,300.55,297.27,82.47,18.86, 
239,1979,8,27,300.5,296.67,79.75,18.17, 
240,1979,8,28,299.93,296.3,80.6,17.8, 
241,1979,8,29,299.4,296.9,86.23,18.45, 
242,1979,8,30,299.22,296.58,85.4,18.12, 
243,1979,8,31,298.62,296.52,88.25,18.08, 
244,1979,9,1,300.32,296.75,81.05,18.34, 
245,1979,9,2,299.6,296.95,85.43,18.52, 
246,1979,9,3,299.06,296.15,83.88,17.6, 
247,1979,9,4,298.89,296.48,86.95,18.09, 
248,1979,9,5,297.91,296.15,90.07,17.64, 
249,1979,9,6,298.75,296.23,85.95,17.65, 
250,1979,9,7,298.67,296.08,85.5,17.5, 
251,1979,9,8,298.05,295.8,87.5,17.24, 
252,1979,9,9,298.72,295.83,84.18,17.27, 
253,1979,9,10,299.57,296.3,82.23,17.73, 
254,1979,9,11,299.49,296.38,83.07,17.82, 
255,1979,9,12,299.97,296.25,80.07,17.65, 
256,1979,9,13,299.63,296.4,82.5,17.82, 
257,1979,9,14,300.06,296.38,80.15,17.77, 
258,1979,9,15,300.24,296.08,78.3,17.54, 
259,1979,9,16,300.35,295.88,76.7,17.33, 
260,1979,9,17,300.3,296.45,79.72,17.94, 
261,1979,9,18,299.64,296.22,81.43,17.64, 
262,1979,9,19,300.22,296.25,78.97,17.68, 
263,1979,9,20,300.41,296.45,79.03,17.87, 
264,1979,9,21,300.34,296.05,77.38,17.41, 
265,1979,9,22,299.05,296.58,86.38,18.04, 
266,1979,9,23,300.49,295.65,74.85,17.03, 
267,1979,9,24,299.27,296.6,85.38,18.09, 
268,1979,9,25,299.42,296.58,84.28,18.01, 
269,1979,9,26,300.56,296.6,79.27,18.06, 
270,1979,9,27,300.69,296.5,77.9,17.93, 
271,1979,9,28,300.45,296.67,79.88,18.16, 
272,1979,9,29,299.6,297.33,87.57,18.96, 
273,1979,9,30,299.4,297,86.78,18.54, 
274,1979,10,1,299.9,296.7,82.85,18.18, 
275,1979,10,2,299.98,296.2,79.93,17.65, 
276,1979,10,3,299.56,297.15,86.7,18.66, 
277,1979,10,4,299.41,297.02,86.95,18.56, 
278,1979,10,5,299.39,295.58,79.6,16.96, 
279,1979,10,6,299.74,295.45,77.35,16.83, 
280,1979,10,7,299.31,296.55,84.75,17.98, 
281,1979,10,8,299.33,296.38,83.9,17.82, 
282,1979,10,9,299.38,296.4,83.77,17.85, 
283,1979,10,10,299.53,295.85,80.28,17.26, 
284,1979,10,11,299.69,296.17,80.98,17.57, 
285,1979,10,12,299.31,296.48,84.35,17.91, 
286,1979,10,13,299.98,296.33,80.28,17.73, 
287,1979,10,14,299.08,296.4,85,17.84, 
288,1979,10,15,299.39,296.39,83.68,17.87, 
289,1979,10,16,299.99,296.32,80.4,17.8, 
290,1979,10,17,300.49,296.27,77.85,17.73, 
291,1979,10,18,300.83,296.12,75.6,17.56, 
292,1979,10,19,300.46,295.95,76.45,17.37, 
293,1979,10,20,300.44,295.6,75.12,17.04, 
294,1979,10,21,300.32,295.21,73.83,16.63, 
295,1979,10,22,300.31,295.8,76.78,17.32, 
296,1979,10,23,300.13,295.4,75.62,16.89, 
297,1979,10,24,299.53,295.94,80.82,17.41, 
298,1979,10,25,299.76,296.09,80.25,17.52, 
299,1979,10,26,300.09,297.05,83.45,18.58, 
300,1979,10,27,299.93,296.3,80.55,17.76, 
301,1979,10,28,300.27,295.95,77.4,17.44, 
302,1979,10,29,299.56,295.89,80.43,17.42, 
303,1979,10,30,299.88,296.6,82.3,18.11, 
304,1979,10,31,299.69,296.62,83.47,18.2, 
305,1979,11,1,298.69,296.33,86.68,17.8, 
306,1979,11,2,299.59,296,80.52,17.44, 
307,1979,11,3,299.7,296.09,80.68,17.59, 
308,1979,11,4,299.06,295.8,82.35,17.29, 
309,1979,11,5,298.99,295.62,81.75,17.1, 
310,1979,11,6,298.95,295.62,82.15,17.14, 
311,1979,11,7,299.02,295.89,82.93,17.36, 
312,1979,11,8,299.09,295.79,82.15,17.25, 
313,1979,11,9,298.8,295.79,83.53,17.23, 
314,1979,11,10,299.34,295.35,78.85,16.73, 
315,1979,11,11,299.35,294.57,74.97,15.97, 
316,1979,11,12,298.95,294.16,74.77,15.58, 
317,1979,11,13,298.35,293.6,75,15.11, 
318,1979,11,14,298.52,293.53,74.38,15, 
319,1979,11,15,298.96,294.43,76.08,15.82, 
320,1979,11,16,299.47,294.73,75.18,16.13, 
321,1979,11,17,298.69,296.07,85.53,17.49, 
322,1979,11,18,298.64,296.2,86.57,17.67, 
323,1979,11,19,298.31,295.85,86.15,17.23, 
324,1979,11,20,298.23,295.83,86.57,17.23, 
325,1979,11,21,297.55,294.47,82.97,15.88, 
326,1979,11,22,297.65,293.42,77.32,14.91, 
327,1979,11,23,297.83,295.39,86.42,16.87, 
328,1979,11,24,298.34,295.85,86.1,17.3, 
329,1979,11,25,297.85,296.16,90.45,17.63, 
330,1979,11,26,298.8,294.87,78.85,16.21, 
331,1979,11,27,298.67,295.1,80.65,16.43, 
332,1979,11,28,299.02,294.72,77.22,16.06, 
333,1979,11,29,299.02,294.12,74.35,15.49, 
334,1979,11,30,299.16,294.54,75.75,15.91, 
335,1979,12,1,299.46,294.52,74.4,15.88, 
336,1979,12,2,299.48,294.3,73.25,15.66, 
337,1979,12,3,298.74,294.65,78.12,15.99, 
338,1979,12,4,298.41,295.8,85.65,17.19, 
339,1979,12,5,298.6,295.25,81.95,16.65, 
340,1979,12,6,298.87,294.73,77.97,16.11, 
341,1979,12,7,299.43,294.43,74,15.78, 
342,1979,12,8,299.07,294.45,75.68,15.78, 
343,1979,12,9,298.77,293.15,71.28,14.59, 
344,1979,12,10,297.98,293.62,76.88,15.04, 
345,1979,12,11,298.8,293.98,74.75,15.35, 
346,1979,12,12,299.06,293.9,73.15,15.26, 
347,1979,12,13,298.43,293.86,75.9,15.23, 
348,1979,12,14,298.56,293.46,73.4,14.89, 
349,1979,12,15,297.83,293.19,75.35,14.62, 
350,1979,12,16,297.86,292.43,71.8,13.95, 
351,1979,12,17,298.32,293.16,73.15,14.61, 
352,1979,12,18,297.79,293.51,77.15,14.95, 
353,1979,12,19,297.24,293.33,78.8,14.78, 
354,1979,12,20,297.87,292.81,73.42,14.29, 
355,1979,12,21,297.74,291.79,69.55,13.43, 
356,1979,12,22,297.19,292,72.88,13.63, 
357,1979,12,23,297.39,293.35,78.22,14.84, 
358,1979,12,24,297.35,293.06,76.97,14.53, 
359,1979,12,25,298.08,291.75,67.9,13.38, 
360,1979,12,26,297.82,291.54,68.1,13.19, 
361,1979,12,27,297.38,290.47,65.38,12.33, 
362,1979,12,28,297.66,291.55,68.75,13.18, 
363,1979,12,29,297.17,290.85,68.12,12.63, 
364,1979,12,30,297.7,290.67,64.93,12.48, 
365,1979,12,31,298.43,292.52,69.88,14.05, 
366,1980,1,1,298.57,293.98,75.85,15.38, 
367,1980,1,2,298.57,293.84,75.38,15.28, 
368,1980,1,3,297.93,293.78,77.78,15.16, 
369,1980,1,4,297.94,294.08,79.4,15.46, 
370,1980,1,5,298.93,293.7,72.9,15.11, 
371,1980,1,6,298.42,294.12,77.38,15.54, 
372,1980,1,7,298.04,293.75,77.55,15.15, 
373,1980,1,8,298.47,293.25,72.7,14.62, 
374,1980,1,9,298.42,293.53,74.27,14.87, 
375,1980,1,10,297.76,293.64,78.12,15, 
376,1980,1,11,296.92,292.09,74.85,13.65, 
377,1980,1,12,296.52,292.58,78.68,14.06, 
378,1980,1,13,297.4,292.62,74.6,14.08, 
379,1980,1,14,297.53,292.21,72.32,13.72, 
380,1980,1,15,297.43,290.92,66.88,12.65, 
381,1980,1,16,296.95,290.56,67.68,12.39, 
382,1980,1,17,296.52,291.19,72.1,12.9, 
383,1980,1,18,296.36,291.84,75.97,13.45, 
384,1980,1,19,295.85,290.79,73.07,12.58, 
385,1980,1,20,296.37,291.26,72.97,12.96, 
386,1980,1,21,296.44,290.43,69.72,12.32, 
387,1980,1,22,296.42,291.33,73.4,13, 
388,1980,1,23,296.86,293.19,80,14.61, 
389,1980,1,24,298.28,293.95,77.03,15.33, 
390,1980,1,25,297.95,295.3,85.3,16.66, 
391,1980,1,26,298.43,294.65,79.85,16, 
392,1980,1,27,298.44,293.93,76.18,15.3, 
393,1980,1,28,298.09,293.22,74.62,14.67, 
394,1980,1,29,297.92,291.79,69.12,13.43, 
395,1980,1,30,297.38,292.03,72.23,13.6, 
396,1980,1,31,296.76,293.07,79.72,14.51, 
397,1980,2,1,297.25,292.11,73.7,13.72, 
398,1980,2,2,296.92,290.77,68.65,12.58, 
399,1980,2,3,297.11,293.26,79.18,14.72, 
400,1980,2,4,298.44,293.93,76.28,15.32, 
401,1980,2,5,296.87,294.25,85.47,15.66, 
402,1980,2,6,295.9,294.04,89.33,15.42, 
403,1980,2,7,297.53,293.14,76.88,14.58, 
404,1980,2,8,297.35,293.27,78.03,14.68, 
405,1980,2,9,296.61,292.78,79.05,14.23, 
406,1980,2,10,296.5,293.21,81.65,14.63, 
407,1980,2,11,297.41,294.17,82.18,15.55, 
408,1980,2,12,298.07,293.64,76.65,15.04, 
409,1980,2,13,298,293.27,75.03,14.67, 
410,1980,2,14,297.76,293.45,76.95,14.8, 
411,1980,2,15,297.98,292.3,70.8,13.83, 
412,1980,2,16,297.91,292.4,71.5,13.94, 
413,1980,2,17,298.32,292.66,71.07,14.15, 
414,1980,2,18,297.46,293.42,78.25,14.8, 
415,1980,2,19,298.39,293.46,74.28,14.84, 
416,1980,2,20,298.66,293.7,74.08,15.09, 
417,1980,2,21,298.23,293.3,74.22,14.7, 
418,1980,2,22,297.62,293.52,78.03,14.89, 
419,1980,2,23,297.27,293.29,78.57,14.68, 
420,1980,2,24,297.48,292.98,76.07,14.37, 
421,1980,2,25,297.64,291.86,70.18,13.42, 
422,1980,2,26,297.88,292.47,71.93,13.93, 
423,1980,2,27,297.7,292.29,72.1,13.78, 
424,1980,2,28,297.52,290.98,66.9,12.68, 
425,1980,2,29,297.48,291.31,68.48,12.99, 
426,1980,3,1,297.32,290.61,66.2,12.41, 
427,1980,3,2,297.72,290.41,63.67,12.27, 
428,1980,3,3,297.88,292.74,73.25,14.22, 
429,1980,3,4,296.74,293.62,82.77,15.02, 
430,1980,3,5,296.31,293.95,86.55,15.27, 
431,1980,3,6,296.99,293.94,83,15.25, 
432,1980,3,7,297.86,292.82,73.57,14.26, 
433,1980,3,8,297.33,292.33,73.58,13.81, 
434,1980,3,9,296.98,292.67,77.05,14.13, 
435,1980,3,10,298.05,291.98,69.05,13.54, 
436,1980,3,11,297.69,292.82,74.25,14.27, 
437,1980,3,12,298.28,293.5,74.9,14.91, 
438,1980,3,13,298.09,292.98,73.33,14.44, 
439,1980,3,14,298.12,293.15,74.25,14.59, 
440,1980,3,15,297.9,293.43,76.18,14.8, 
441,1980,3,16,297.59,292.64,73.8,14.07, 
442,1980,3,17,297.74,292.3,71.7,13.78, 
443,1980,3,18,297.65,292.08,71,13.59, 
444,1980,3,19,297.61,292.23,72.12,13.74, 
445,1980,3,20,297.45,291.45,69.25,13.08, 
446,1980,3,21,297.18,290.39,65.8,12.25, 
447,1980,3,22,297.54,291.25,68.03,13, 
448,1980,3,23,297.75,292.55,72.77,14.05, 
449,1980,3,24,297.6,293.6,78.57,15.02, 
450,1980,3,25,297.99,293.07,74.48,14.53, 
451,1980,3,26,298.27,293.73,76.2,15.12, 
452,1980,3,27,298.82,295.1,80.15,16.45, 
453,1980,3,28,297.95,294.65,82.27,16.02, 
454,1980,3,29,297.46,292.45,73.68,13.91, 
455,1980,3,30,297.51,292.67,74.65,14.17, 
456,1980,3,31,298.08,293.42,75.35,14.81, 
457,1980,4,1,298.26,292.75,71.62,14.21, 
458,1980,4,2,297.79,292.9,74.45,14.3, 
459,1980,4,3,298.08,292.1,69.45,13.63, 
460,1980,4,4,298.24,292.83,71.95,14.28, 
461,1980,4,5,298.15,293.43,75.02,14.83, 
462,1980,4,6,298.58,293.77,74.95,15.17, 
463,1980,4,7,298.59,293.9,75.12,15.23, 
464,1980,4,8,298.3,293.72,75.95,15.14, 
465,1980,4,9,297.91,293.4,76.12,14.85, 
466,1980,4,10,297.46,294.08,81.4,15.47, 
467,1980,4,11,297.01,294.48,85.75,15.84, 
468,1980,4,12,296.48,294.1,86.5,15.47, 
469,1980,4,13,297.34,293.65,79.97,15.02, 
470,1980,4,14,297.94,292.92,73.55,14.35, 
471,1980,4,15,297.67,294.12,80.93,15.49, 
472,1980,4,16,298.24,294.54,79.97,15.88, 
473,1980,4,17,298.72,294.17,76.05,15.52, 
474,1980,4,18,298.59,294.48,78.25,15.84, 
475,1980,4,19,299.13,294.18,74.12,15.54, 
476,1980,4,20,298.97,294.93,78.43,16.29, 
477,1980,4,21,299.22,294.35,74.75,15.78, 
478,1980,4,22,299.31,294.83,76.4,16.27, 
479,1980,4,23,297.5,295.27,87.47,16.68, 
480,1980,4,24,296.85,294.52,86.67,15.87, 
481,1980,4,25,298.28,296,87.3,17.43, 
482,1980,4,26,298.19,295.25,83.5,16.59, 
483,1980,4,27,298.72,295.45,82.03,16.79, 
484,1980,4,28,298.77,295.2,80.55,16.52, 
485,1980,4,29,298.9,295.42,81.47,16.84, 
486,1980,4,30,299.49,295.17,77.45,16.59, 
487,1980,5,1,299.85,294.98,74.68,16.36, 
488,1980,5,2,299.79,295.35,76.8,16.77, 
489,1980,5,3,299.98,295.83,78.12,17.22, 
490,1980,5,4,299.93,296.42,81.1,17.9, 
491,1980,5,5,300.17,297.08,83.07,18.58, 
492,1980,5,6,300.39,296.35,78.8,17.76, 
493,1980,5,7,300.39,296.05,77.65,17.48, 
494,1980,5,8,299.9,295.45,76.92,16.83, 
495,1980,5,9,299.44,295.45,78.97,16.84, 
496,1980,5,10,300.26,296.15,78.5,17.55, 
497,1980,5,11,300.26,295.68,76.15,17.06, 
498,1980,5,12,300.03,296.05,78.73,17.42, 
499,1980,5,13,299.27,295.32,78.75,16.66, 
500,1980,5,14,298.36,295.6,84.4,16.93, 
501,1980,5,15,298.33,295.62,85.1,17.02, 
502,1980,5,16,299.21,295.5,80.15,16.87, 
503,1980,5,17,298.65,296.17,86.22,17.56, 
504,1980,5,18,298.7,296.17,85.95,17.54, 
505,1980,5,19,298.58,295.98,85.47,17.34, 
506,1980,5,20,299.03,296.3,84.93,17.72, 
507,1980,5,21,298.96,296.53,86.68,17.99, 
508,1980,5,22,298.97,296.6,86.8,18.02, 
509,1980,5,23,299.92,296.35,81.03,17.79, 
510,1980,5,24,299.33,295.6,80.12,17, 
511,1980,5,25,299.53,295.83,80.25,17.28, 
512,1980,5,26,299.94,296.45,81.38,17.96, 
513,1980,5,27,300.5,297.8,85.28,19.42, 
514,1980,5,28,299.87,296.4,81.5,17.87, 
515,1980,5,29,300.06,296.03,78.57,17.47, 
