,iquitos_persiann, 3.875S, 73.375W, precipitation_amount
184,1983,7,3,0
185,1983,7,4,0
186,1983,7,5,0
187,1983,7,6,0
188,1983,7,7,0
189,1983,7,8,6.75
190,1983,7,9,0
191,1983,7,10,12.81
192,1983,7,11,0
193,1983,7,12,0
194,1983,7,13,5.29
195,1983,7,14,3.4
196,1983,7,15,0
197,1983,7,16,22.82
198,1983,7,17,21.98
199,1983,7,18,7.36
200,1983,7,19,0
201,1983,7,20,0
202,1983,7,21,0
203,1983,7,22,0
204,1983,7,23,5.77
205,1983,7,24,22.22
206,1983,7,25,1.66
207,1983,7,26,0
208,1983,7,27,0
209,1983,7,28,0
210,1983,7,29,2.17
211,1983,7,30,29.38
212,1983,7,31,0
213,1983,8,1,0
214,1983,8,2,4.35
215,1983,8,3,0
216,1983,8,4,0
217,1983,8,5,0
218,1983,8,6,0
219,1983,8,7,0
220,1983,8,8,0
221,1983,8,9,7.07
222,1983,8,10,0.7
223,1983,8,11,2.21
224,1983,8,12,3.11
225,1983,8,13,0
226,1983,8,14,10.17
227,1983,8,15,5.06
228,1983,8,16,22.09
229,1983,8,17,4.5
230,1983,8,18,8.85
231,1983,8,19,21.71
232,1983,8,20,1.78
233,1983,8,21,0
234,1983,8,22,1.53
235,1983,8,23,4.14
236,1983,8,24,2.98
237,1983,8,25,1.01
238,1983,8,26,0.68
239,1983,8,27,5.62
240,1983,8,28,0.71
241,1983,8,29,19.03
242,1983,8,30,2.05
243,1983,8,31,20.87
244,1983,9,1,1.42
245,1983,9,2,34.2
246,1983,9,3,25.19
247,1983,9,4,0
248,1983,9,5,0
249,1983,9,6,7.19
250,1983,9,7,1.7
251,1983,9,8,7.51
252,1983,9,9,25.88
253,1983,9,10,0.82
254,1983,9,11,0
255,1983,9,12,0
256,1983,9,13,2.18
257,1983,9,14,13.14
258,1983,9,15,0.98
259,1983,9,16,10.34
260,1983,9,17,4.72
261,1983,9,18,5.16
262,1983,9,19,5.25
263,1983,9,20,1.65
264,1983,9,21,3.97
265,1983,9,22,0
266,1983,9,23,0
267,1983,9,24,1
268,1983,9,25,16.07
269,1983,9,26,1.14
270,1983,9,27,6.26
271,1983,9,28,13.1
272,1983,9,29,2.01
273,1983,9,30,19.39
274,1983,10,1,4.19
275,1983,10,2,0.63
276,1983,10,3,0.77
277,1983,10,4,0.77
278,1983,10,5,11.51
279,1983,10,6,14.25
280,1983,10,7,5.53
281,1983,10,8,16.82
282,1983,10,9,6.54
283,1983,10,10,14.5
284,1983,10,11,28.41
285,1983,10,12,5.69
286,1983,10,13,2.2
287,1983,10,14,0.54
288,1983,10,15,2.05
289,1983,10,16,3.73
290,1983,10,17,13.74
291,1983,10,18,24.74
292,1983,10,19,50.09
293,1983,10,20,9.7
294,1983,10,21,1.21
295,1983,10,22,1.67
296,1983,10,23,7.32
297,1983,10,24,20.84
298,1983,10,25,1.81
299,1983,10,26,0
300,1983,10,27,24.15
301,1983,10,28,38.61
302,1983,10,29,4.59
303,1983,10,30,7.77
304,1983,10,31,13
305,1983,11,1,10.05
306,1983,11,2,30.76
307,1983,11,3,0.96
308,1983,11,4,0.99
309,1983,11,5,2.6
310,1983,11,6,6.05
311,1983,11,7,1.08
312,1983,11,8,4.57
313,1983,11,9,17.71
314,1983,11,10,1.43
315,1983,11,11,7.07
316,1983,11,12,3.9
317,1983,11,13,0
318,1983,11,14,1.82
319,1983,11,15,51.02
320,1983,11,16,0
321,1983,11,17,1.26
322,1983,11,18,5.5
323,1983,11,19,4.07
324,1983,11,20,2.31
325,1983,11,21,0.35
326,1983,11,22,17.04
327,1983,11,23,1.68
328,1983,11,24,8.61
329,1983,11,25,6.1
330,1983,11,26,0.34
331,1983,11,27,1.99
332,1983,11,28,2.86
333,1983,11,29,10.98
334,1983,11,30,12.18
335,1983,12,1,8.98
336,1983,12,2,4.08
337,1983,12,3,24.86
338,1983,12,4,6.9
339,1983,12,5,2.27
340,1983,12,6,18.07
341,1983,12,7,12.05
342,1983,12,8,34.18
343,1983,12,9,0.85
344,1983,12,10,27.84
345,1983,12,11,28.01
346,1983,12,12,10.04
347,1983,12,13,16.53
348,1983,12,14,2.69
349,1983,12,15,10.02
350,1983,12,16,23.92
351,1983,12,17,1.69
352,1983,12,18,22.75
353,1983,12,19,6.24
354,1983,12,20,7.68
355,1983,12,21,28.3
356,1983,12,22,1.63
357,1983,12,23,0.95
358,1983,12,24,10.43
359,1983,12,25,5
360,1983,12,26,43.45
361,1983,12,27,6.57
362,1983,12,28,14.86
363,1983,12,29,1.12
364,1983,12,30,0
365,1983,12,31,6.34
366,1984,1,1,2.98
367,1984,1,2,8.71
368,1984,1,3,30.72
369,1984,1,4,8.84
370,1984,1,5,3.95
371,1984,1,6,18.62
372,1984,1,7,3.61
373,1984,1,8,15.6
374,1984,1,9,8.73
375,1984,1,10,0.73
376,1984,1,11,0
377,1984,1,12,1.25
378,1984,1,13,0.72
379,1984,1,14,13.08
380,1984,1,15,7.98
381,1984,1,16,27.62
382,1984,1,17,0.65
383,1984,1,18,3.24
384,1984,1,19,0.49
385,1984,1,20,0
386,1984,1,21,15.48
387,1984,1,22,31.64
388,1984,1,23,0
389,1984,1,24,0
390,1984,1,25,1.1
391,1984,1,26,20.23
392,1984,1,27,12.5
393,1984,1,28,3.62
394,1984,1,29,4.49
395,1984,1,30,13.99
396,1984,1,31,16.47
397,1984,2,1,22.27
398,1984,2,2,0.71
399,1984,2,3,0
400,1984,2,4,1.03
401,1984,2,5,21.62
402,1984,2,6,38.64
403,1984,2,7,16.66
404,1984,2,8,0
405,1984,2,9,0
406,1984,2,10,6.03
407,1984,2,11,1.07
408,1984,2,12,0.72
409,1984,2,13,46.2
410,1984,2,14,11.9
411,1984,2,15,12.03
412,1984,2,16,15.06
413,1984,2,17,2.37
414,1984,2,18,2.45
415,1984,2,19,0.77
416,1984,2,20,3.35
417,1984,2,21,17.26
418,1984,2,22,17.25
419,1984,2,23,11.91
420,1984,2,24,4.2
421,1984,2,25,0
422,1984,2,26,14.81
423,1984,2,27,15.13
424,1984,2,28,26.92
425,1984,2,29,-9999
426,1984,3,1,0.4
427,1984,3,2,7.38
428,1984,3,3,0.39
429,1984,3,4,0
430,1984,3,5,0
431,1984,3,6,2.16
432,1984,3,7,0.34
433,1984,3,8,0.6
434,1984,3,9,0
435,1984,3,10,11.32
436,1984,3,11,24
437,1984,3,12,0.81
438,1984,3,13,0
439,1984,3,14,1.46
440,1984,3,15,1.26
441,1984,3,16,6.26
442,1984,3,17,2.25
443,1984,3,18,8.07
444,1984,3,19,0.79
445,1984,3,20,1.72
446,1984,3,21,0
447,1984,3,22,29.08
448,1984,3,23,4.6
449,1984,3,24,1.74
450,1984,3,25,4.61
451,1984,3,26,12.53
452,1984,3,27,15.76
453,1984,3,28,13.91
454,1984,3,29,17.89
455,1984,3,30,10.21
456,1984,3,31,0.73
457,1984,4,1,0.57
458,1984,4,2,13.86
459,1984,4,3,9.27
460,1984,4,4,22.64
461,1984,4,5,56.11
462,1984,4,6,1.93
463,1984,4,7,2.6
464,1984,4,8,3.71
465,1984,4,9,0
466,1984,4,10,35.76
467,1984,4,11,5.05
468,1984,4,12,0
469,1984,4,13,17.73
470,1984,4,14,3.23
471,1984,4,15,0.93
472,1984,4,16,0
473,1984,4,17,20.65
474,1984,4,18,3.29
475,1984,4,19,20.74
476,1984,4,20,10.28
477,1984,4,21,0
478,1984,4,22,13.03
479,1984,4,23,1.93
480,1984,4,24,6.07
481,1984,4,25,32.12
482,1984,4,26,1.57
483,1984,4,27,2.39
484,1984,4,28,0.45
485,1984,4,29,3.92
486,1984,4,30,16.87
487,1984,5,1,5.08
488,1984,5,2,3.86
489,1984,5,3,1.62
490,1984,5,4,18.51
491,1984,5,5,17.58
492,1984,5,6,23.38
493,1984,5,7,2.87
494,1984,5,8,1.25
495,1984,5,9,1.6
496,1984,5,10,24.86
497,1984,5,11,1.38
498,1984,5,12,0
499,1984,5,13,0
500,1984,5,14,30.14
501,1984,5,15,-9999
502,1984,5,16,1.23
503,1984,5,17,0
504,1984,5,18,0
505,1984,5,19,14.13
506,1984,5,20,6.81
507,1984,5,21,1.6
508,1984,5,22,1.93
509,1984,5,23,0
510,1984,5,24,1.97
511,1984,5,25,0
512,1984,5,26,0
513,1984,5,27,8.35
514,1984,5,28,8.09
515,1984,5,29,22.79
516,1984,5,30,2.35
517,1984,5,31,18.34
518,1984,6,1,0
519,1984,6,2,0
520,1984,6,3,0
521,1984,6,4,0
522,1984,6,5,13.16
523,1984,6,6,2.84
524,1984,6,7,22.52
525,1984,6,8,3.67
526,1984,6,9,0
527,1984,6,10,0
528,1984,6,11,1.53
529,1984,6,12,2.11
530,1984,6,13,4.08
531,1984,6,14,3.55
532,1984,6,15,19.77
533,1984,6,16,8.44
534,1984,6,17,21.44
535,1984,6,18,7.27
536,1984,6,19,5.37
537,1984,6,20,2.24
538,1984,6,21,2.61
539,1984,6,22,0
540,1984,6,23,35.34
541,1984,6,24,17.23
542,1984,6,25,0
543,1984,6,26,0
544,1984,6,27,17.04
545,1984,6,28,10.83
546,1984,6,29,44.51
547,1984,6,30,0
548,1984,7,1,0
549,1984,7,2,0
550,1984,7,3,1.87
551,1984,7,4,4.17
552,1984,7,5,52.2
553,1984,7,6,8.61
554,1984,7,7,16.83
555,1984,7,8,53.27
556,1984,7,9,0.9
557,1984,7,10,0
558,1984,7,11,0.82
559,1984,7,12,0
560,1984,7,13,6.42
561,1984,7,14,16
562,1984,7,15,0.71
563,1984,7,16,2.37
564,1984,7,17,11.26
565,1984,7,18,16.18
566,1984,7,19,3.83
567,1984,7,20,0.76
568,1984,7,21,1.25
569,1984,7,22,2.28
570,1984,7,23,7.55
571,1984,7,24,0
572,1984,7,25,0
573,1984,7,26,0
574,1984,7,27,0
575,1984,7,28,1.72
576,1984,7,29,2.44
577,1984,7,30,0
578,1984,7,31,0
579,1984,8,1,0
580,1984,8,2,0
581,1984,8,3,2.41
582,1984,8,4,3.47
583,1984,8,5,3.36
584,1984,8,6,0
585,1984,8,7,0.68
586,1984,8,8,3.83
587,1984,8,9,9.04
588,1984,8,10,10.5
589,1984,8,11,6.44
590,1984,8,12,2.28
591,1984,8,13,1.83
592,1984,8,14,0
593,1984,8,15,8.61
594,1984,8,16,4.85
595,1984,8,17,11.4
596,1984,8,18,4.65
597,1984,8,19,12.95
598,1984,8,20,1.95
599,1984,8,21,1.17
600,1984,8,22,14.38
601,1984,8,23,16.53
602,1984,8,24,22.37
603,1984,8,25,3.9
604,1984,8,26,25.65
605,1984,8,27,0.51
606,1984,8,28,0
607,1984,8,29,0
608,1984,8,30,0
609,1984,8,31,0
610,1984,9,1,0
611,1984,9,2,1.84
612,1984,9,3,11.57
613,1984,9,4,11.59
614,1984,9,5,0.96
615,1984,9,6,1.31
616,1984,9,7,8.29
617,1984,9,8,7.61
618,1984,9,9,31.63
619,1984,9,10,5.47
620,1984,9,11,5.68
621,1984,9,12,10.95
622,1984,9,13,15.3
623,1984,9,14,0.39
624,1984,9,15,0
625,1984,9,16,12.51
626,1984,9,17,14.98
627,1984,9,18,5.26
628,1984,9,19,5.02
629,1984,9,20,4.39
630,1984,9,21,18.19
631,1984,9,22,0.69
632,1984,9,23,3.99
633,1984,9,24,0
634,1984,9,25,0.48
635,1984,9,26,9
636,1984,9,27,1.6
637,1984,9,28,26.44
638,1984,9,29,0.9
639,1984,9,30,0
640,1984,10,1,2.77
641,1984,10,2,0.84
642,1984,10,3,20.53
643,1984,10,4,11.01
644,1984,10,5,4.75
645,1984,10,6,1.45
646,1984,10,7,8.36
647,1984,10,8,0
648,1984,10,9,2.77
649,1984,10,10,17.3
650,1984,10,11,1.99
651,1984,10,12,8.42
652,1984,10,13,1.16
653,1984,10,14,0.82
654,1984,10,15,4.58
655,1984,10,16,24.49
656,1984,10,17,11.78
657,1984,10,18,1.14
658,1984,10,19,3.97
659,1984,10,20,4.11
660,1984,10,21,4.08
661,1984,10,22,12.06
662,1984,10,23,12.69
663,1984,10,24,5.55
664,1984,10,25,13.49
665,1984,10,26,12.14
666,1984,10,27,1.17
667,1984,10,28,28.89
668,1984,10,29,12.11
669,1984,10,30,2.49
670,1984,10,31,11.64
671,1984,11,1,6.91
672,1984,11,2,1.95
673,1984,11,3,1.04
674,1984,11,4,0.75
675,1984,11,5,11.69
676,1984,11,6,12.63
677,1984,11,7,4.44
678,1984,11,8,2.91
679,1984,11,9,14.57
680,1984,11,10,3.57
681,1984,11,11,16.29
682,1984,11,12,10.11
683,1984,11,13,1.41
684,1984,11,14,22.93
685,1984,11,15,3.36
686,1984,11,16,1.45
687,1984,11,17,8.88
688,1984,11,18,6.9
689,1984,11,19,2.52
690,1984,11,20,10.55
691,1984,11,21,1.05
692,1984,11,22,0.74
693,1984,11,23,16.57
694,1984,11,24,12.82
695,1984,11,25,8.61
696,1984,11,26,6.35
697,1984,11,27,1.51
698,1984,11,28,4.1
699,1984,11,29,5.06
700,1984,11,30,20.48
701,1984,12,1,3.48
702,1984,12,2,9.74
703,1984,12,3,12.2
704,1984,12,4,30.41
705,1984,12,5,16.38
706,1984,12,6,21.36
707,1984,12,7,2.27
708,1984,12,8,5.18
709,1984,12,9,29.61
710,1984,12,10,13.91
711,1984,12,11,27.45
712,1984,12,12,15.54
713,1984,12,13,3.84
714,1984,12,14,16.18
715,1984,12,15,3.06
716,1984,12,16,1.31
717,1984,12,17,16.38
718,1984,12,18,8.68
719,1984,12,19,9.85
720,1984,12,20,0
721,1984,12,21,12.9
722,1984,12,22,6.77
723,1984,12,23,0
724,1984,12,24,2.22
725,1984,12,25,2.66
726,1984,12,26,1
727,1984,12,27,17.54
728,1984,12,28,1.67
729,1984,12,29,0
730,1984,12,30,2.18
731,1984,12,31,0
732,1985,1,1,1.73
733,1985,1,2,0.22
734,1985,1,3,0.18
735,1985,1,4,0
736,1985,1,5,0.24
737,1985,1,6,0
738,1985,1,7,1.5
739,1985,1,8,1
740,1985,1,9,0
741,1985,1,10,2.47
742,1985,1,11,0.23
743,1985,1,12,0
744,1985,1,13,1.36
745,1985,1,14,13.55
746,1985,1,15,4.45
747,1985,1,16,0.24
748,1985,1,17,0
749,1985,1,18,0.88
750,1985,1,19,1.58
751,1985,1,20,0
752,1985,1,21,0.72
753,1985,1,22,1.94
754,1985,1,23,3.09
755,1985,1,24,7.46
756,1985,1,25,0
757,1985,1,26,0
758,1985,1,27,0.43
759,1985,1,28,1.94
760,1985,1,29,1.53
761,1985,1,30,1.61
762,1985,1,31,0.2
763,1985,2,1,6.78
764,1985,2,2,3.74
765,1985,2,3,3.34
766,1985,2,4,1.26
767,1985,2,5,0.41
768,1985,2,6,0
769,1985,2,7,0
770,1985,2,8,1.1
771,1985,2,9,0
772,1985,2,10,13.43
773,1985,2,11,0
774,1985,2,12,15.56
775,1985,2,13,2.19
776,1985,2,14,4.6
777,1985,2,15,5.66
778,1985,2,16,13.32
779,1985,2,17,18.41
780,1985,2,18,16.41
781,1985,2,19,0.91
782,1985,2,20,10.9
783,1985,2,21,17.14
784,1985,2,22,13.97
785,1985,2,23,0.47
786,1985,2,24,0.48
787,1985,2,25,0
788,1985,2,26,0
789,1985,2,27,1.6
790,1985,2,28,13.89
791,1985,3,1,1.73
792,1985,3,2,10.61
793,1985,3,3,12.2
794,1985,3,4,0.68
795,1985,3,5,0.38
796,1985,3,6,10.04
797,1985,3,7,0
798,1985,3,8,11.99
799,1985,3,9,2.95
800,1985,3,10,1.64
801,1985,3,11,0.73
802,1985,3,12,2.65
803,1985,3,13,13.93
804,1985,3,14,12.25
805,1985,3,15,3.1
806,1985,3,16,21.38
807,1985,3,17,3.27
808,1985,3,18,4.34
809,1985,3,19,6.78
810,1985,3,20,13.08
811,1985,3,21,7.77
812,1985,3,22,0.78
813,1985,3,23,9.04
814,1985,3,24,0
815,1985,3,25,10.41
816,1985,3,26,9.44
817,1985,3,27,5.78
818,1985,3,28,8.8
819,1985,3,29,5.82
820,1985,3,30,16.96
821,1985,3,31,13.68
822,1985,4,1,12.34
823,1985,4,2,5.02
824,1985,4,3,0.31
825,1985,4,4,30.49
826,1985,4,5,19.02
827,1985,4,6,0.7
828,1985,4,7,0.35
829,1985,4,8,50.19
830,1985,4,9,29.61
831,1985,4,10,0
832,1985,4,11,6.98
833,1985,4,12,4.86
834,1985,4,13,15.62
835,1985,4,14,0
836,1985,4,15,0
837,1985,4,16,5.79
838,1985,4,17,3.01
839,1985,4,18,4.34
840,1985,4,19,26.23
841,1985,4,20,10.16
842,1985,4,21,2.55
843,1985,4,22,0.98
844,1985,4,23,7.22
845,1985,4,24,12.01
846,1985,4,25,17.03
847,1985,4,26,12.26
848,1985,4,27,2.54
849,1985,4,28,4.87
850,1985,4,29,4.98
851,1985,4,30,3.54
852,1985,5,1,9.35
853,1985,5,2,2.37
854,1985,5,3,0
855,1985,5,4,0
856,1985,5,5,0
857,1985,5,6,0
858,1985,5,7,4.74
859,1985,5,8,31.96
860,1985,5,9,1.85
861,1985,5,10,10.39
862,1985,5,11,0.54
863,1985,5,12,1.67
864,1985,5,13,0
865,1985,5,14,23.47
866,1985,5,15,9.79
867,1985,5,16,2.04
868,1985,5,17,2.38
869,1985,5,18,22.19
870,1985,5,19,11.99
871,1985,5,20,0.66
872,1985,5,21,0
873,1985,5,22,21.23
874,1985,5,23,13.73
875,1985,5,24,13.3
876,1985,5,25,6.74
877,1985,5,26,1.98
878,1985,5,27,0.6
879,1985,5,28,1.63
880,1985,5,29,0
881,1985,5,30,1.14
882,1985,5,31,1.98
883,1985,6,1,20.05
884,1985,6,2,4.33
885,1985,6,3,50.28
886,1985,6,4,0
887,1985,6,5,1.26
888,1985,6,6,0
889,1985,6,7,0
890,1985,6,8,0
891,1985,6,9,0
892,1985,6,10,0
893,1985,6,11,0
894,1985,6,12,0
895,1985,6,13,0
896,1985,6,14,0
897,1985,6,15,3.99
898,1985,6,16,1.28
899,1985,6,17,13.25
900,1985,6,18,14.34
901,1985,6,19,18.8
902,1985,6,20,10.02
903,1985,6,21,3.57
904,1985,6,22,0
905,1985,6,23,1.93
906,1985,6,24,10.64
907,1985,6,25,0
908,1985,6,26,3.07
909,1985,6,27,3.54
910,1985,6,28,3.62
911,1985,6,29,0
912,1985,6,30,3.08
913,1985,7,1,1.37
914,1985,7,2,32.71
915,1985,7,3,37.49
916,1985,7,4,10.26
917,1985,7,5,0
918,1985,7,6,22.13
919,1985,7,7,0
920,1985,7,8,0
921,1985,7,9,0
922,1985,7,10,7.72
923,1985,7,11,1.28
924,1985,7,12,3.42
925,1985,7,13,0
926,1985,7,14,0
927,1985,7,15,1.07
928,1985,7,16,1.1
929,1985,7,17,0.72
930,1985,7,18,0
931,1985,7,19,0
932,1985,7,20,19.48
933,1985,7,21,0
934,1985,7,22,0
935,1985,7,23,0
936,1985,7,24,1.72
937,1985,7,25,11.41
938,1985,7,26,3.24
939,1985,7,27,3.92
940,1985,7,28,7
941,1985,7,29,7.5
942,1985,7,30,14.44
943,1985,7,31,1.82
944,1985,8,1,20.27
945,1985,8,2,10.45
946,1985,8,3,0.51
947,1985,8,4,0
948,1985,8,5,0
949,1985,8,6,0
950,1985,8,7,0.75
951,1985,8,8,9.24
952,1985,8,9,39.19
953,1985,8,10,0.53
954,1985,8,11,0
955,1985,8,12,0
956,1985,8,13,0
957,1985,8,14,0
958,1985,8,15,0.67
959,1985,8,16,2.79
960,1985,8,17,26.37
961,1985,8,18,1.06
962,1985,8,19,16.51
963,1985,8,20,2.5
964,1985,8,21,3.4
965,1985,8,22,0
966,1985,8,23,8.45
967,1985,8,24,1.62
968,1985,8,25,0
969,1985,8,26,0
970,1985,8,27,3.92
971,1985,8,28,4.07
972,1985,8,29,0.74
973,1985,8,30,0
974,1985,8,31,1.3
975,1985,9,1,0
976,1985,9,2,7
977,1985,9,3,25.62
978,1985,9,4,0.7
979,1985,9,5,5.47
980,1985,9,6,1.72
981,1985,9,7,0
982,1985,9,8,0
983,1985,9,9,7.46
984,1985,9,10,4.44
985,1985,9,11,2.61
986,1985,9,12,10.94
987,1985,9,13,4.78
988,1985,9,14,11.67
989,1985,9,15,6.89
990,1985,9,16,1.77
991,1985,9,17,10.94
992,1985,9,18,10.53
993,1985,9,19,3.81
994,1985,9,20,0.92
995,1985,9,21,7.53
996,1985,9,22,0.32
997,1985,9,23,0
998,1985,9,24,2.66
999,1985,9,25,10.7
1000,1985,9,26,17.99
1001,1985,9,27,0.4
1002,1985,9,28,0.97
1003,1985,9,29,20.24
1004,1985,9,30,4.24
1005,1985,10,1,0.34
1006,1985,10,2,6.32
1007,1985,10,3,6.61
1008,1985,10,4,1.82
1009,1985,10,5,0.5
1010,1985,10,6,0.26
1011,1985,10,7,1.1
1012,1985,10,8,11.88
1013,1985,10,9,11.34
1014,1985,10,10,9.4
1015,1985,10,11,5.76
1016,1985,10,12,0.81
1017,1985,10,13,1.32
1018,1985,10,14,0.62
1019,1985,10,15,4.49
1020,1985,10,16,6.21
1021,1985,10,17,4.94
1022,1985,10,18,5.38
1023,1985,10,19,14.09
1024,1985,10,20,4.15
1025,1985,10,21,11.39
1026,1985,10,22,6.39
1027,1985,10,23,1.87
1028,1985,10,24,31.34
1029,1985,10,25,1.03
1030,1985,10,26,0
1031,1985,10,27,19.83
1032,1985,10,28,19.69
1033,1985,10,29,1.02
1034,1985,10,30,0
1035,1985,10,31,0
1036,1985,11,1,1.19
1037,1985,11,2,6.99
1038,1985,11,3,9.13
1039,1985,11,4,1.5
1040,1985,11,5,7.68
1041,1985,11,6,14.2
1042,1985,11,7,0
1043,1985,11,8,6.2
1044,1985,11,9,3.57
1045,1985,11,10,5.69
1046,1985,11,11,4.87
1047,1985,11,12,13.51
1048,1985,11,13,18.92
1049,1985,11,14,5.87
1050,1985,11,15,16.43
1051,1985,11,16,4.01
1052,1985,11,17,2.77
1053,1985,11,18,1.11
1054,1985,11,19,12.32
1055,1985,11,20,2.19
1056,1985,11,21,4.4
1057,1985,11,22,14.12
1058,1985,11,23,14.75
1059,1985,11,24,0
1060,1985,11,25,0
1061,1985,11,26,0
1062,1985,11,27,4.59
1063,1985,11,28,8.33
1064,1985,11,29,11.71
1065,1985,11,30,1.46
1066,1985,12,1,0
1067,1985,12,2,0.48
1068,1985,12,3,15.35
1069,1985,12,4,11.05
1070,1985,12,5,6.32
1071,1985,12,6,8.62
1072,1985,12,7,18.32
1073,1985,12,8,30.91
1074,1985,12,9,8.17
1075,1985,12,10,14.79
1076,1985,12,11,7.81
1077,1985,12,12,18.32
1078,1985,12,13,6.37
1079,1985,12,14,1.03
1080,1985,12,15,3.14
1081,1985,12,16,0
1082,1985,12,17,0
1083,1985,12,18,0.3
1084,1985,12,19,0
1085,1985,12,20,0.6
1086,1985,12,21,0
1087,1985,12,22,3.03
1088,1985,12,23,1.57
1089,1985,12,24,0
1090,1985,12,25,1.13
1091,1985,12,26,0
1092,1985,12,27,0
1093,1985,12,28,1.4
1094,1985,12,29,1.2
1095,1985,12,30,1.2
1096,1985,12,31,4.87
1097,1986,1,1,20.11
1098,1986,1,2,16.97
1099,1986,1,3,0
1100,1986,1,4,1.32
