,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,additional_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
61,10,1991-07-02,0,0,0,4,9,0,13,1991,7,2,32.8,25.0,28.9,7.8,0.0,0,1991,7,2,300.39,296,77.12,17.36,299.2,302.1,1,2.900000000000034,300.65,27,27.0, 2.015286e-01, NaN, 1.981571e-01, 1.779333e-01
62,11,1991-07-09,0,0,0,1,13,0,14,1991,7,9,32.8,24.4,28.6,8.4,0.0,0,1991,7,9,300.31,295.6,75.7,16.97,299,302.2,0.4,3.1999999999999886,300.6,28,28.0, 1.380500e-01, 9.690000e-02, 1.679167e-01, NaN
63,12,1991-07-16,0,0,0,0,17,1,18,1991,7,16,28.3,24.4,26.3,3.9,39.6,35.15,1991,7,16,299.11,297.05,88.6,18.53,298.2,300.3,14.5,2.1000000000000227,299.25,29,29.0, 9.982857e-02, NaN, 1.166429e-01, 7.733333e-02
64,13,1991-07-23,0,0,0,0,23,0,23,1991,7,23,32.2,25.0,28.6,7.2,0.0,0,1991,7,23,300.06,295.6,76.85,16.95,298.8,302,0.9,3.1999999999999886,300.4,30,30.0, 1.380333e-01, 8.010000e-02, 1.290667e-01, 8.050000e-03
65,14,1991-07-30,0,1,0,1,23,0,25,1991,7,30,31.1,25.6,28.4,5.5,5.3,7.61,1991,7,30,299.48,297.12,87.02,18.62,298.5,299.9,12.2,1.3999999999999773,299.2,31,31.0, 1.906429e-01, NaN, 1.593286e-01, NaN
66,15,1991-08-06,8,3,0,1,50,0,62,1991,8,6,33.3,25.6,29.5,7.7,3.3,0,1991,8,6,299.62,295.65,79.15,17,298.7,301.6,3,2.900000000000034,300.15,32,32.0, 1.925857e-01, 7.315000e-02, 2.093571e-01, 1.124000e-01
67,16,1991-08-13,3,4,0,0,53,0,60,1991,8,13,31.7,26.7,29.2,5.0,0.0,0,1991,8,13,300.58,296.7,79.75,18.19,299.3,302.4,1,3.099999999999966,300.85,33,33.0, 1.551000e-01, 5.930000e-02, 1.567000e-01, NaN
68,17,1991-08-20,6,9,0,1,60,0,76,1991,8,20,31.1,24.4,27.8,6.7,7.6,1.98,1991,8,20,300.01,296.17,79.45,17.52,298.7,301,4,2.3000000000000114,299.85,34,34.0, 1.285143e-01, 5.690000e-02, 1.437286e-01, 9.814000e-02
69,18,1991-08-27,7,0,0,4,55,0,66,1991,8,27,30.0,24.4,27.2,5.6,24.4,24.99,1991,8,27,299.76,296.62,83.12,18.1,298.9,300.4,20,1.5,299.65,35,35.0, 2.250400e-01, 6.930000e-02, 1.864000e-01, 5.705000e-02
70,19,1991-09-03,5,4,0,0,55,0,64,1991,9,3,33.9,26.1,30.0,7.8,0.0,0,1991,9,3,300.77,297.23,81.42,18.74,299.3,302.8,0.6,3.5,301.05,36,36.0, 1.398000e-01, 1.080500e-01, 1.624143e-01, 9.167500e-02
71,20,1991-09-10,1,2,0,2,63,0,68,1991,9,10,31.7,25.6,28.7,6.1,0.3,1.74,1991,9,10,299.72,296.83,84.22,18.28,298.8,300.4,9.4,1.599999999999966,299.6,37,37.0, 1.120800e-01, 1.047500e-01, 1.446429e-01, 1.598333e-01
72,21,1991-09-17,1,2,0,0,86,0,89,1991,9,17,31.1,24.4,27.8,6.7,4.1,12.45,1991,9,17,299.89,296.65,82.55,18.14,299.2,300.4,11.5,1.1999999999999886,299.79999999999995,38,38.0, 1.685714e-01, 1.098000e-01, 1.688714e-01, 1.527333e-01
73,22,1991-09-24,7,6,0,1,78,0,92,1991,9,24,31.1,25.6,28.4,5.5,1.0,4.02,1991,9,24,300.3,297,82.2,18.46,299.7,301.4,6.4,1.6999999999999886,300.54999999999995,39,39.0, 1.714286e-01, 1.676000e-01, 2.181429e-01, 1.489000e-01
74,23,1991-10-01,1,8,0,2,129,0,140,1991,10,1,30.6,24.4,27.5,6.2,0.8,17.17,1991,10,1,298.96,296.5,86.53,18.02,298.3,300,17.1,1.6999999999999886,299.15,40,40.0, 1.770000e-01, 1.291000e-01, 1.955571e-01, 1.667200e-01
75,24,1991-10-08,0,4,0,0,110,2,116,1991,10,8,31.1,24.4,27.8,6.7,0.0,0.99,1991,10,8,299.71,295.27,76.7,16.68,298.1,301.5,1.7,3.3999999999999773,299.8,41,41.0, 1.450833e-01, 9.300000e-02, 1.681667e-01, 9.300000e-02
76,25,1991-10-15,7,4,0,4,127,0,142,1991,10,15,31.1,24.4,27.8,6.7,1.0,1.34,1991,10,15,299.86,295.2,75.9,16.61,298.6,301.4,1.4,2.7999999999999545,300,42,42.0, 1.090429e-01, 1.370000e-02, 1.070286e-01, 1.288600e-01
77,26,1991-10-22,14,3,0,2,108,2,129,1991,10,22,31.1,25.0,28.0,6.1,0.0,0.95,1991,10,22,299.63,296.1,81.1,17.53,298.2,301,6,2.8000000000000114,299.6,43,43.0, 1.808143e-01, 1.944000e-01, 1.998714e-01, 1.186000e-01
78,27,1991-10-29,6,3,0,4,126,1,140,1991,10,29,29.4,24.4,26.9,5.0,0.0,14.28,1991,10,29,300.12,296.05,78.6,17.53,298,302.6,6.7,4.600000000000023,300.3,44,44.0, 1.255667e-01, 9.400000e-02, 1.213167e-01, 9.665000e-02
79,28,1991-11-05,10,1,0,3,126,0,140,1991,11,5,30.0,23.3,26.6,6.7,3.3,0,1991,11,5,298.78,295.41,81.78,16.81,297.5,300.5,5.7,3,299,45,45.0, 1.121333e-01, 5.440000e-02, 1.193857e-01, 5.475000e-02
80,29,1991-11-12,5,6,0,5,111,0,127,1991,11,12,30.0,22.8,26.4,7.2,0.5,0,1991,11,12,298.64,293.96,75.43,15.39,297.6,299.6,1.3,2,298.6,46,46.0, 1.949429e-01, 9.540000e-02, 1.980571e-01, 1.114000e-01
81,30,1991-11-19,8,5,0,4,111,1,129,1991,11,19,30.0,23.3,26.6,6.7,0.0,0,1991,11,19,299.57,294.65,74.53,16.03,298.1,301.1,3.9,3,299.6,47,47.0, 1.387429e-01, 8.250000e-03, 1.796429e-01, 2.842500e-02
82,31,1991-11-26,11,3,0,6,148,1,169,1991,11,26,30.0,23.3,26.6,6.7,1.3,0,1991,11,26,298.29,295.1,82.5,16.5,297.7,299,7.1,1.3000000000000114,298.35,48,48.0, 1.796286e-01, 8.786667e-02, 1.661857e-01, 1.519000e-01
83,32,1991-12-03,3,3,0,3,131,1,141,1991,12,3,27.8,21.7,24.8,6.1,12.7,0,1991,12,3,298.56,294.48,78.4,15.85,297.4,299.6,4,2.2000000000000455,298.5,49,49.0, 1.336286e-01, 8.020000e-02, 1.344571e-01, 1.402500e-01
84,33,1991-12-10,4,5,0,4,95,0,108,1991,12,10,28.9,21.7,25.3,7.2,0.5,0,1991,12,10,298.45,293.12,72.35,14.59,297.6,299.6,0.8,2,298.6,50,50.0, 2.224143e-01, -2.665000e-02, 2.289429e-01, 2.128000e-01
85,34,1991-12-17,1,2,0,2,69,4,78,1991,12,17,27.2,22.2,24.7,5.0,0.5,0,1991,12,17,296.81,293.07,79.6,14.52,296.2,297.6,0.9,1.400000000000034,296.9,51,51.0, 1.144000e-01, NaN, 4.045714e-02, 4.613333e-02
86,35,1991-12-24,0,1,0,3,64,2,70,1991,12,24,28.9,18.9,23.9,10.0,0.0,0,1991,12,24,296.33,290.38,69.3,12.27,294.2,298.1,0,3.900000000000034,296.15,52,52.0, 1.379333e-01, 1.235500e-01, 1.297556e-01, 1.237000e-01
87,36,1992-01-01,0,1,0,1,63,16,81,1992,1,1,28.9,22.8,25.8,6.1,1.3,6.19,1992,1,1,296.98,293.92,83.07,15.29,296.1,298.3,2.7,2.1999999999999886,297.20000000000005,1,1.0, 1.852833e-01, 1.251000e-01, 1.813667e-01, 1.578667e-01
88,37,1992-01-08,2,2,0,5,89,6,104,1992,1,8,28.9,22.2,25.5,6.7,1.3,0,1992,1,8,298.1,294.76,81.95,16.14,296.6,299.5,0.3,2.8999999999999773,298.05,2,2.0, 1.387143e-01, 1.008333e-01, 1.127857e-01, 7.357500e-02
89,38,1992-01-15,4,2,0,1,79,4,90,1992,1,15,28.3,20.6,24.5,7.7,0.0,0,1992,1,15,296.27,293.66,85.32,15.06,295.9,296.6,0.9,0.7000000000000455,296.25,3,3.0, 1.984571e-01, 2.224000e-01, 1.994143e-01, 2.299000e-01
90,39,1992-01-22,1,1,0,0,83,0,85,1992,1,22,28.3,21.1,24.7,7.2,0.5,0,1992,1,22,297.29,293.45,79.23,14.84,296.3,298.8,0.8,2.5,297.55,4,4.0, 1.888429e-01, 1.225333e-01, 1.688714e-01, 1.310500e-01
91,40,1992-01-29,0,0,0,2,51,2,55,1992,1,29,28.3,21.7,25.0,6.6,0.0,0,1992,1,29,297.27,292.54,74.95,14.03,296.3,298.6,1,2.3000000000000114,297.45000000000005,5,5.0, 1.736714e-01, NaN, 1.919286e-01, 4.830000e-02
92,41,1992-02-05,0,0,0,3,43,7,53,1992,2,5,29.4,20.0,24.7,9.4,0.0,-9999,1992,2,5,297.15,293.17,79.02,14.68,295.8,299.4,0.2,3.599999999999966,297.6,6,6.0, 1.117167e-01, 1.016000e-01, 1.879571e-01, 8.460000e-02
93,42,1992-02-12,2,2,0,1,54,6,65,1992,2,12,28.9,21.7,25.3,7.2,0.0,-9999,1992,2,12,297.82,293.6,77.62,15,296.3,299.8,0.2,3.5,298.05,7,7.0, 1.957429e-01, NaN, 1.788571e-01, 1.305000e-01
