,season_week,week_start_date,denv1_cases,denv2_cases,denv3_cases,denv4_cases,other_positive_cases,total_cases,year,month,day,TMAX,TMIN,TAVG,TDTR,PRCP,precipitation_amount,Reanalysis_Year,Reanalysis_Month,Reanalysis_Day,Reanalysis_ air_temperature,Reanalysis_ dew_point_temperature,Reanalysis_relative_humidity,Reanalysis_ specific_humidity,Reanalysis_ minimum_air_temperature,Reanalysis_ maximum_air_temperature,Reanalysis_precipitation_amount,Reanalysis_TDTR,Reanalysis_TAVG,week_number, Week,ndvi_se, ndvi_sw,ndvi_ne,ndvi_nw
20,21,2000-11-18,0,0,0,0,0,0,2000,11,18,30.0,21.5,25.8,8.5,-9999.0,1.88,2000,11,18,299.15,294.94,81.08,16.48,294.1,306.4,0.1,12.299999999999955,300.25,46,46.0, 9.993333e-02, 6.418333e-02, 3.586000e-02, 1.954857e-01
21,22,2000-11-25,0,0,0,0,0,0,2000,11,25,34.2,21.0,27.6,13.2,2.0,0.31,2000,11,25,298.4,296.27,88.87,17.8,296.1,309.3,5.7,13.199999999999989,302.70000000000005,47,47.0, 1.699833e-01, 1.709167e-01, 2.893000e-01, 3.009833e-01
22,23,2000-12-02,0,0,0,0,0,0,2000,12,2,-9999.0,22.4,-9999.0,-9999.0,-9999.0,0,2000,12,2,298.83,292.78,71.85,14.35,292.7,304.7,0,12,298.7,48,48.0, 2.519714e-01, 3.191000e-01, 2.538000e-01, 3.235143e-01
23,24,2000-12-09,0,0,0,0,0,0,2000,12,9,29.4,22.4,25.9,7.0,2.0,6.77,2000,12,9,297.04,295.85,93.5,17.33,293.3,301.5,5.9,8.199999999999989,297.4,49,49.0, 1.658333e-01, 1.862500e-01, 1.824143e-01, 2.545667e-01
24,25,2000-12-16,0,0,0,0,1,1,2000,12,16,34.3,22.0,28.1,12.3,-9999.0,0,2000,12,16,300.81,288.47,49.4,10.97,295.3,308.7,0,13.399999999999977,302,50,50.0, 3.387857e-01, 2.977000e-01, 3.168286e-01, 3.503429e-01
25,26,2000-12-23,0,0,0,0,0,0,2000,12,23,33.0,23.0,28.0,10.0,-9999.0,0,2000,12,23,298.94,294.62,82.8,16.15,295.2,308.4,4.9,13.199999999999989,301.79999999999995,51,51.0, 2.650143e-01, 3.022429e-01, 1.690571e-01, 2.348667e-01
26,27,2001-01-01,0,0,0,0,0,0,2001,1,1,-9999.0,21.0,-9999.0,-9999.0,14.0,17,2001,1,1,297.42,295.65,90.38,17.26,293.5,304.5,13.4,11,299,1,1.0, 2.547143e-01, 2.870000e-01, 2.285286e-01, 2.505857e-01
27,28,2001-01-08,0,0,0,0,0,0,2001,1,8,33.0,21.6,27.3,11.4,2.0,12.38,2001,1,8,297.56,294.1,82.68,15.63,294,304.1,3,10.100000000000023,299.05,2,2.0, 3.021333e-01, 2.740000e-01, 2.035167e-01, 2.674333e-01
28,29,2001-01-15,0,0,0,0,0,0,2001,1,15,-9999.0,21.2,-9999.0,-9999.0,27.9,22,2001,1,15,297.59,295.34,88.02,16.93,294.3,306.1,9.2,11.800000000000011,300.20000000000005,3,3.0, 1.747571e-01, 1.767286e-01, 1.033167e-01, 2.582429e-01
29,30,2001-01-22,0,0,0,0,0,0,2001,1,22,-9999.0,21.7,-9999.0,-9999.0,7.1,4.97,2001,1,22,295.46,294.3,93.78,15.76,293.5,300.7,2.9,7.199999999999989,297.1,4,4.0, 2.376000e-01, 2.314429e-01, 1.912667e-01, 1.258571e-01
30,31,2001-01-29,0,0,0,0,0,0,2001,1,29,30.2,20.6,25.4,9.6,23.1,2.61,2001,1,29,294.83,294.11,96.05,15.59,292.2,298.2,5.1,6,295.2,5,5.0, 3.415000e-01, 3.690714e-01, 2.606667e-01, 3.293857e-01
31,32,2001-02-05,0,0,0,0,0,0,2001,2,5,,,,,,0,2001,2,5,293.39,293.28,99.48,14.78,292.5,294.1,4.8,1.6000000000000227,293.3,6,6.0, 2.335857e-01, 2.267000e-01, 1.610000e-01, 1.966143e-01
32,33,2001-02-12,0,0,0,0,0,0,2001,2,12,28.5,22.6,25.5,5.9,17.0,0.99,2001,2,12,294.09,293.9,99.15,15.41,293.2,294.7,5.5,1.5,293.95,7,7.0, 1.554143e-01, 1.571000e-01, 1.350167e-01, 1.485286e-01
33,34,2001-02-19,0,0,0,0,0,0,2001,2,19,31.4,22.4,26.9,9.0,-9999.0,0,2001,2,19,297.43,296.39,94.33,18.02,295.2,302.5,7.6,7.300000000000011,298.85,8,8.0, 1.353714e-01, 1.840429e-01, 8.230000e-02, 1.297571e-01
34,35,2001-02-26,0,0,0,0,0,0,2001,2,26,31.2,22.2,26.7,9.0,1.0,0,2001,2,26,297.05,296.47,96.82,18.05,295,302.7,5.3,7.699999999999989,298.85,9,9.0, 3.076400e-01, 2.912833e-01, 2.282167e-01, 2.245000e-01
35,36,2001-03-05,0,0,0,0,0,0,2001,3,5,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,2001,3,5,297.05,296.86,99.15,18.49,295.6,300.2,23.2,4.599999999999966,297.9,10,10.0, 1.820429e-01, 2.063286e-01, 2.890000e-01, 2.068714e-01
36,37,2001-03-12,0,0,0,0,0,0,2001,3,12,-9999.0,22.4,-9999.0,-9999.0,-9999.0,0.59,2001,3,12,298.35,294.8,83.58,16.32,293.2,309.3,0,16.100000000000023,301.25,11,11.0, 2.053833e-01, 2.041286e-01, 1.769000e-01, 2.063571e-01
37,38,2001-03-19,0,0,0,0,0,0,2001,3,19,33.3,22.1,27.7,11.2,1.0,7.17,2001,3,19,297.91,296.96,94.73,18.73,294,303.6,12.7,9.600000000000023,298.8,12,12.0, 1.883429e-01, 2.841429e-01, 1.950333e-01, 1.635429e-01
38,39,2001-03-26,0,0,0,0,0,0,2001,3,26,-9999.0,20.0,-9999.0,-9999.0,51.1,2.25,2001,3,26,296.58,295.6,94.75,17.08,295,299.3,9.7,4.300000000000011,297.15,13,13.0, 1.623800e-01, 1.322571e-01, 1.508167e-01, 9.465714e-02
39,40,2001-04-02,0,0,0,0,0,0,2001,4,2,35.0,22.2,28.6,12.8,0.0,36.87,2001,4,2,296.43,295.58,95.28,17.05,294.8,300.8,1.4,6,297.8,14,14.0, 2.678143e-01, 2.584000e-01, 3.126429e-01, 2.615000e-01
40,41,2001-04-09,0,0,0,0,0,0,2001,4,9,-9999.0,22.4,-9999.0,-9999.0,17.0,0,2001,4,9,296.46,296.12,98.15,17.69,294.7,301.4,8.9,6.699999999999989,298.04999999999995,15,15.0, 3.827571e-01, 3.762714e-01, 3.709714e-01, 3.438857e-01
41,42,2001-04-16,0,0,0,0,1,1,2001,4,16,33.3,-9999.0,-9999.0,-9999.0,-9999.0,3.95,2001,4,16,297.67,295.45,89.58,16.9,294.3,303.8,3.62,9.5,299.05,16,16.0, 3.125429e-01, 4.074857e-01, 2.822143e-01, 2.621286e-01
42,43,2001-04-23,0,0,0,0,0,0,2001,4,23,34.3,22.4,28.3,11.9,-9999.0,3.58,2001,4,23,299.28,295.27,83.07,16.86,293.2,307.8,0.7,14.600000000000023,300.5,17,17.0, 2.456143e-01, 2.288000e-01, 2.148429e-01, 2.733714e-01
43,44,2001-04-30,0,0,0,0,0,0,2001,4,30,-9999.0,20.5,-9999.0,-9999.0,39.1,38.96,2001,4,30,297.94,297.58,98.05,19.34,295.8,304.4,72.8,8.599999999999966,300.1,18,18.0, 2.540143e-01, 2.625571e-01, 1.790000e-01, 3.128286e-01
44,45,2001-05-07,0,0,0,0,0,0,2001,5,7,30.0,22.7,26.4,7.3,6.1,2.25,2001,5,7,297.35,295.33,90.18,16.8,293.3,305.1,4.3,11.800000000000011,299.20000000000005,19,19.0, 2.664571e-01, 2.273286e-01, 1.886000e-01, 1.962000e-01
45,46,2001-05-14,0,0,0,0,0,0,2001,5,14,,,,,,7.28,2001,5,14,296.5,296.38,99.12,17.82,294.9,297.2,5.3,2.3000000000000114,296.04999999999995,20,20.0, 3.153429e-01, 3.034857e-01, 3.196500e-01, 2.627000e-01
46,47,2001-05-21,0,0,0,0,1,1,2001,5,21,-9999.0,20.5,-9999.0,-9999.0,29.0,23.34,2001,5,21,295.66,295.55,99.43,17.04,294,298.1,12.3,4.100000000000023,296.05,21,21.0, 2.985857e-01, 2.685286e-01, 3.796667e-01, 1.842429e-01
47,48,2001-05-28,1,0,0,0,0,1,2001,5,28,34.8,20.5,27.6,14.3,6.1,20.88,2001,5,28,296.94,296.45,97.2,18.04,294.8,301.5,7.5,6.699999999999989,298.15,22,22.0, 2.999429e-01, 3.874429e-01, 3.029429e-01, 3.187143e-01
48,49,2001-06-04,0,0,0,0,0,0,2001,6,4,-9999.0,22.4,-9999.0,-9999.0,6.1,31.77,2001,6,4,295.1,294.73,97.95,16.34,291.8,299.7,18.29,7.899999999999977,295.75,23,23.0, 3.635667e-01, 2.467286e-01, 1.819143e-01, 2.539714e-01
49,50,2001-06-11,0,0,0,0,0,0,2001,6,11,-9999.0,20.8,-9999.0,-9999.0,18.0,7.57,2001,6,11,295.28,293.33,90.3,14.77,292.2,301.9,0.5,9.699999999999989,297.04999999999995,24,24.0, 3.170833e-01, 2.173429e-01, 2.989667e-01, 2.198714e-01
50,51,2001-06-18,0,0,0,0,1,1,2001,6,18,31.6,20.5,26.0,11.1,8.9,1.92,2001,6,18,294.65,294.45,98.75,15.85,293.8,296.3,4.68,2.5,295.05,25,25.0, 1.041000e-01, 1.137571e-01, 1.082429e-01, 5.965714e-02
51,52,2001-06-25,0,0,0,0,0,0,2001,6,25,32.3,-9999.0,-9999.0,-9999.0,-9999.0,0,2001,6,25,295.3,290.5,75.95,12.36,288.9,304.7,0,15.800000000000011,296.79999999999995,26,26.0, 1.923000e-01, 3.254143e-01, 2.752857e-01, 3.164571e-01
52,1,2001-07-02,0,0,0,0,0,0,2001,7,2,-9999.0,22.4,-9999.0,-9999.0,9.9,12.71,2001,7,2,296.99,294.12,84.15,15.6,293.8,303.6,4.7,9.800000000000011,298.70000000000005,27,27.0, 2.290833e-01, 2.421857e-01, 1.932667e-01, 2.704571e-01
53,2,2001-07-09,0,0,0,0,0,0,2001,7,9,-9999.0,20.8,-9999.0,-9999.0,0.0,0,2001,7,9,295.54,293.55,90.33,15.04,292.9,301.4,0,8.5,297.15,28,28.0, 3.597167e-01, 4.388429e-01, 3.110571e-01, 2.649857e-01
54,3,2001-07-16,0,0,0,0,0,0,2001,7,16,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.93,2001,7,16,298.68,293.98,80.25,15.46,294.3,307.9,0.1,13.599999999999966,301.1,29,29.0, 3.195000e-01, 3.616333e-01, 2.050857e-01, 1.947429e-01
55,4,2001-07-23,0,0,0,0,0,0,2001,7,23,32.2,21.2,26.7,11.0,6.1,3.82,2001,7,23,296.41,294.52,89.9,16.02,292,304.8,6.36,12.800000000000011,298.4,30,30.0, 2.911571e-01, 3.259857e-01, 2.526333e-01, 2.182000e-01
56,5,2001-07-30,0,0,0,0,0,0,2001,7,30,-9999.0,18.4,-9999.0,-9999.0,0.0,0,2001,7,30,297.43,290.83,70.55,12.66,289.8,306.5,0,16.69999999999999,298.15,31,31.0, 2.371167e-01, 1.339000e-01, 1.956167e-01, 1.883143e-01
57,6,2001-08-06,0,0,0,0,0,0,2001,8,6,33.2,20.8,27.0,12.4,-9999.0,0,2001,8,6,298.93,290.58,61.85,12.46,292.9,308.7,0,15.800000000000011,300.79999999999995,32,32.0, 2.007571e-01, 2.043571e-01, 2.377286e-01, 2.236429e-01
58,7,2001-08-13,0,0,0,0,0,0,2001,8,13,33.4,20.8,27.1,12.6,-9999.0,0,2001,8,13,299.91,291.27,59.23,13.07,292.4,307.9,0,15.5,300.15,33,33.0, 2.821714e-01, 3.664571e-01, 2.735571e-01, 2.658571e-01
59,8,2001-08-20,0,0,0,0,0,0,2001,8,20,34.2,22.0,28.1,12.2,3.0,2.52,2001,8,20,298.77,296.25,86.83,17.76,295.3,303.6,25.7,8.300000000000011,299.45000000000005,34,34.0, 2.407571e-01, 2.469143e-01, 1.931143e-01, 2.063429e-01
60,9,2001-08-27,0,0,0,0,0,0,2001,8,27,-9999.0,21.8,-9999.0,-9999.0,-9999.0,16.84,2001,8,27,298.81,295.5,83.12,17.07,294.3,302.7,5.7,8.399999999999977,298.5,35,35.0, 2.280714e-01, 2.646429e-01, 1.999857e-01, 2.331429e-01
61,10,2001-09-03,0,0,0,0,0,0,2001,9,3,-9999.0,-9999.0,-9999.0,-9999.0,0.0,0,2001,9,3,298.66,295.73,84.6,17.28,295.3,304.8,15.5,9.5,300.05,36,36.0, 3.069500e-01, 3.389429e-01, 2.410286e-01, 1.908714e-01
62,11,2001-09-10,0,0,0,0,0,0,2001,9,10,35.2,21.3,28.2,13.9,1.0,5.85,2001,9,10,298.55,295.33,83.38,16.79,295.1,302.7,8.4,7.599999999999966,298.9,37,37.0, 3.084571e-01, 4.290714e-01, 2.503143e-01, 2.983000e-01
63,12,2001-09-17,0,0,0,0,0,0,2001,9,17,33.8,22.0,27.9,11.8,-9999.0,2.54,2001,9,17,297.86,294.12,80.5,15.67,292.9,302.8,7.3,9.900000000000034,297.85,38,38.0, 3.533143e-01, 3.530429e-01, 3.439714e-01, 3.586714e-01
64,13,2001-09-24,0,0,0,0,0,0,2001,9,24,-9999.0,22.1,-9999.0,-9999.0,-9999.0,0.38,2001,9,24,297.8,294.83,86.9,16.34,294.2,305.7,4.7,11.5,299.95,39,39.0, 3.346714e-01, 3.197714e-01, 3.886143e-01, 2.854000e-01
65,14,2001-10-01,0,0,0,0,0,0,2001,10,1,35.2,22.1,28.7,13.1,-9999.0,1.15,2001,10,1,301.75,291.77,58.72,13.5,292.9,311,0,18.100000000000023,301.95,40,40.0, 3.343857e-01, 4.444000e-01, 2.712857e-01, 2.416857e-01
66,15,2001-10-08,0,0,0,0,0,0,2001,10,8,33.3,21.8,27.5,11.5,0.0,0,2001,10,8,301.1,294.42,69,15.93,296.1,307.3,2.5,11.199999999999989,301.70000000000005,41,41.0, 4.202857e-01, 5.460167e-01, 3.819571e-01, 4.438000e-01
67,16,2001-10-15,0,0,0,0,0,0,2001,10,15,-9999.0,21.2,-9999.0,-9999.0,0.0,5.86,2001,10,15,298.24,296.38,90.27,17.96,295.5,302.8,35.1,7.300000000000011,299.15,42,42.0, 3.102000e-01, 3.820571e-01, 2.971286e-01, 3.454857e-01
68,17,2001-10-22,0,0,0,0,0,0,2001,10,22,33.6,-9999.0,-9999.0,-9999.0,6.1,19.9,2001,10,22,297.59,296.1,92.15,17.61,295.5,301.2,70.7,5.699999999999989,298.35,43,43.0, 1.244833e-01, 2.055714e-01, 2.392667e-01, 1.845000e-01
69,18,2001-10-29,0,0,0,0,0,0,2001,10,29,34.4,23.0,28.7,11.4,39.1,53.49,2001,10,29,298.33,295.38,85.6,16.92,295.3,304.4,2.46,9.099999999999966,299.85,44,44.0, 2.108857e-01, 2.320000e-01, 2.075667e-01, 2.066143e-01
70,19,2001-11-05,0,0,0,0,0,0,2001,11,5,34.4,22.0,28.2,12.4,-9999.0,3.78,2001,11,5,298.85,297.33,91.6,19.09,296.3,302.8,17.2,6.5,299.55,45,45.0, 3.581429e-01, 3.714000e-01, 2.793429e-01, 3.059714e-01
71,20,2001-11-12,0,0,0,0,0,0,2001,11,12,33.5,-9999.0,-9999.0,-9999.0,-9999.0,9.31,2001,11,12,298.32,297.11,93.47,18.77,296.8,300.7,113.3,3.8999999999999773,298.75,46,46.0, 2.773286e-01, 2.969714e-01, 2.303000e-01, 2.773000e-01
72,21,2001-11-19,0,0,0,0,1,1,2001,11,19,-9999.0,-9999.0,-9999.0,-9999.0,0.0,1.24,2001,11,19,297.55,297.25,98.57,18.97,296.3,299.5,20.1,3.1999999999999886,297.9,47,47.0, 3.297000e-01, 4.415714e-01, 3.304167e-01, 3.406429e-01
73,22,2001-11-26,0,0,0,0,1,1,2001,11,26,35.3,-9999.0,-9999.0,-9999.0,4.1,13.98,2001,11,26,299.16,297.27,89.65,19.06,296.2,303.1,11.2,6.900000000000034,299.65,48,48.0, 3.015000e-01, 3.699167e-01, 3.613000e-01, 3.055714e-01
74,23,2001-12-03,0,0,1,0,0,1,2001,12,3,33.6,22.0,27.8,11.6,-9999.0,2.9,2001,12,3,298.68,296.94,91.48,18.6,296,307.5,7.4,11.5,301.75,49,49.0, 3.250571e-01, 3.504714e-01, 2.264714e-01, 2.992571e-01
75,24,2001-12-10,1,0,0,0,1,2,2001,12,10,34.3,21.5,27.9,12.8,16.0,36.32,2001,12,10,298.29,298.01,98.5,19.88,297,301.6,18.02,4.600000000000023,299.3,50,50.0, 3.260333e-01, 3.066429e-01, 2.355333e-01, 3.155714e-01
76,25,2001-12-17,2,0,0,0,2,4,2001,12,17,30.3,23.2,26.8,7.1,0.0,8.76,2001,12,17,297.47,297.23,98.72,18.97,295.4,300.4,20.2,5,297.9,51,51.0, 2.229429e-01, 1.841286e-01, 2.240714e-01, 2.128143e-01
77,26,2001-12-24,0,0,0,0,1,1,2001,12,24,-9999.0,-9999.0,-9999.0,-9999.0,0.0,53.44,2001,12,24,298.03,297.78,98.75,19.54,296.3,299,40.68,2.6999999999999886,297.65,52,52.0, 2.981889e-01, 3.417000e-01, 3.380778e-01, 2.887889e-01
78,27,2002-01-01,2,0,1,0,1,4,2002,1,1,33.4,-9999.0,-9999.0,-9999.0,0.0,48.16,2002,1,1,299.53,296.21,82.57,17.84,295.5,305.5,4.5,10,300.5,1,1.0, 4.057286e-01, 3.800143e-01, 3.484000e-01, 3.686429e-01
79,28,2002-01-08,5,0,3,0,3,11,2002,1,8,36.0,22.2,29.1,13.8,3.0,8.62,2002,1,8,300.93,295.61,75.45,17.13,295.7,307.7,2,12,301.7,2,2.0, 3.275833e-01, 3.833333e-01, 3.759167e-01, 4.102667e-01
80,29,2002-01-15,4,0,7,0,5,16,2002,1,15,35.8,23.5,29.6,12.3,-9999.0,6.14,2002,1,15,299.99,292.8,65.88,14.42,293.2,305.9,1.7,12.699999999999989,299.54999999999995,3,3.0, 2.410857e-01, 1.976429e-01, 1.456500e-01, 2.780286e-01
81,30,2002-01-22,7,1,5,0,10,23,2002,1,22,-9999.0,22.8,-9999.0,-9999.0,14.0,20.45,2002,1,22,297.45,296.32,93.57,17.85,295.4,304.2,2,8.800000000000011,299.79999999999995,4,4.0, 1.041286e-01, 1.419143e-01, 1.483286e-01, 1.121857e-01
82,31,2002-01-29,8,2,1,0,1,12,2002,1,29,30.8,20.8,25.8,10.0,13.0,0.5,2002,1,29,295.15,294.07,94.32,15.58,292,301.8,2.4,9.800000000000011,296.9,5,,,,,
83,32,2002-02-05,3,1,1,0,9,14,2002,2,5,33.2,22.6,27.9,10.6,15.0,14.04,2002,2,5,298.36,296.38,90.3,17.9,295.5,303.9,3.1,8.399999999999977,299.7,6,6.0, 1.849167e-01, 1.844286e-01, 1.733286e-01, 1.687429e-01
84,33,2002-02-12,7,1,3,0,7,18,2002,2,12,33.5,21.0,27.2,12.5,-9999.0,6.65,2002,2,12,297.84,295.47,87.9,16.99,295.2,302.4,0.13,7.199999999999989,298.79999999999995,7,7.0, 2.919714e-01, 3.732714e-01, 2.241429e-01, 3.051000e-01
85,34,2002-02-19,3,0,2,0,3,8,2002,2,19,32.0,23.0,27.5,9.0,0.0,16.51,2002,2,19,296,295.89,99.4,17.4,294.5,300.5,3.2,6,297.5,8,8.0, 1.288000e-01, 1.251714e-01, 1.224333e-01, 9.594286e-02
86,35,2002-02-26,2,0,2,0,3,7,2002,2,26,-9999.0,22.9,-9999.0,-9999.0,6.1,0,2002,2,26,298.92,294.71,83.4,16.23,294.7,308.8,0.2,14.100000000000023,301.75,9,9.0, 1.162000e-01, 2.104143e-01, 1.787429e-01, 8.991429e-02
87,36,2002-03-05,3,0,6,0,1,10,2002,3,5,34.5,-9999.0,-9999.0,-9999.0,-9999.0,24.13,2002,3,5,297,296.83,99.03,18.4,295.6,298.6,20.1,3,297.1,10,10.0, 3.183667e-01, 2.973833e-01, 2.556000e-01, 2.660000e-01
88,37,2002-03-12,2,0,3,0,2,7,2002,3,12,33.0,21.0,27.0,12.0,8.9,3.67,2002,3,12,297.76,296.15,91.68,17.77,294.1,305.8,5.2,11.699999999999989,299.95000000000005,11,11.0, 2.483857e-01, 2.992333e-01, 1.795000e-01, 2.698143e-01
89,38,2002-03-19,2,1,5,0,2,10,2002,3,19,32.3,-9999.0,-9999.0,-9999.0,0.0,36.12,2002,3,19,296.86,296.76,99.68,18.4,296.1,297.6,45.6,1.5,296.85,12,12.0, 2.265857e-01, 2.435143e-01, 2.483333e-01, 2.302000e-01
90,39,2002-03-26,0,0,3,0,2,5,2002,3,26,-9999.0,21.5,-9999.0,-9999.0,13.0,43.25,2002,3,26,296.68,296.4,98.62,18.08,294.5,300.8,9.6,6.300000000000011,297.65,13,13.0, 2.127857e-01, 2.284571e-01, 2.745500e-01, 1.987000e-01
91,40,2002-04-02,1,0,8,0,2,11,2002,4,2,31.0,21.6,26.3,9.4,13.0,13.08,2002,4,2,297.59,297.33,98.62,19.03,295.5,299.5,39.9,4,297.5,14,14.0, 1.970800e-01, 2.763286e-01, 2.962286e-01, 1.805000e-01
92,41,2002-04-09,1,0,4,0,3,8,2002,4,9,-9999.0,21.3,-9999.0,-9999.0,-9999.0,2.39,2002,4,9,296.98,295.7,93.35,17.17,295.2,300.6,2.6,5.400000000000034,297.9,15,15.0, 2.698286e-01, 2.662857e-01, 1.968143e-01, 2.025857e-01
