,san_juan_persiann, 18.375N, 66.125W, precipitation_amount
148,1983,5,28,4.72
149,1983,5,29,0.85
150,1983,5,30,2.68
151,1983,5,31,0
152,1983,6,1,0
153,1983,6,2,0
154,1983,6,3,0
155,1983,6,4,0
156,1983,6,5,4.77
157,1983,6,6,2.44
158,1983,6,7,2.24
159,1983,6,8,0.51
160,1983,6,9,2.69
161,1983,6,10,0
162,1983,6,11,1.62
163,1983,6,12,5.3
164,1983,6,13,3.01
165,1983,6,14,11.07
166,1983,6,15,4.93
167,1983,6,16,9.52
168,1983,6,17,6.65
169,1983,6,18,7.48
170,1983,6,19,0
171,1983,6,20,1.76
172,1983,6,21,0.85
173,1983,6,22,0
174,1983,6,23,0
175,1983,6,24,0
176,1983,6,25,0
177,1983,6,26,0
178,1983,6,27,8.9
179,1983,6,28,3.27
180,1983,6,29,1.59
181,1983,6,30,4.11
182,1983,7,1,7.34
183,1983,7,2,11.64
184,1983,7,3,6.38
185,1983,7,4,8.33
186,1983,7,5,33.98
187,1983,7,6,14.67
188,1983,7,7,5.2
189,1983,7,8,0.52
190,1983,7,9,0
191,1983,7,10,0
192,1983,7,11,0
193,1983,7,12,0.49
194,1983,7,13,0
195,1983,7,14,0
196,1983,7,15,0
197,1983,7,16,2.55
198,1983,7,17,4.94
199,1983,7,18,9.66
200,1983,7,19,1.66
201,1983,7,20,1.63
202,1983,7,21,1.62
203,1983,7,22,0
204,1983,7,23,3.75
205,1983,7,24,22.12
206,1983,7,25,0
207,1983,7,26,0
208,1983,7,27,0
209,1983,7,28,2.14
210,1983,7,29,4.32
211,1983,7,30,0.96
212,1983,7,31,1.23
213,1983,8,1,1.6
214,1983,8,2,16.72
215,1983,8,3,1.04
216,1983,8,4,0
217,1983,8,5,2.77
218,1983,8,6,0
219,1983,8,7,1.57
220,1983,8,8,0
221,1983,8,9,0
222,1983,8,10,0
223,1983,8,11,0
224,1983,8,12,6.23
225,1983,8,13,3.26
226,1983,8,14,0
227,1983,8,15,1.79
228,1983,8,16,23.62
229,1983,8,17,51.05
230,1983,8,18,6.85
231,1983,8,19,0
232,1983,8,20,1.44
233,1983,8,21,48.52
234,1983,8,22,10.94
235,1983,8,23,0
236,1983,8,24,0.65
237,1983,8,25,5.84
238,1983,8,26,11.06
239,1983,8,27,18.14
240,1983,8,28,15.2
241,1983,8,29,1.19
242,1983,8,30,2.87
243,1983,8,31,2.95
244,1983,9,1,4.26
245,1983,9,2,7.92
246,1983,9,3,1.15
247,1983,9,4,0
248,1983,9,5,0
249,1983,9,6,0
250,1983,9,7,19.16
251,1983,9,8,4.45
252,1983,9,9,0
253,1983,9,10,0
254,1983,9,11,15.7
255,1983,9,12,0
256,1983,9,13,0
257,1983,9,14,0
258,1983,9,15,6.63
259,1983,9,16,1.7
260,1983,9,17,9.97
261,1983,9,18,12.43
262,1983,9,19,2.37
263,1983,9,20,4.5
264,1983,9,21,23.12
265,1983,9,22,5.17
266,1983,9,23,10.41
267,1983,9,24,14.24
268,1983,9,25,0
269,1983,9,26,0
270,1983,9,27,2.13
271,1983,9,28,2.32
272,1983,9,29,0
273,1983,9,30,3.75
274,1983,10,1,2.32
275,1983,10,2,0
276,1983,10,3,0
277,1983,10,4,0
278,1983,10,5,0
279,1983,10,6,0
280,1983,10,7,0
281,1983,10,8,7.73
282,1983,10,9,9.68
283,1983,10,10,2.58
284,1983,10,11,0
285,1983,10,12,4.36
286,1983,10,13,1.38
287,1983,10,14,1
288,1983,10,15,30.35
289,1983,10,16,17
290,1983,10,17,23.88
291,1983,10,18,43.9
292,1983,10,19,43.95
293,1983,10,20,17.71
294,1983,10,21,26.18
295,1983,10,22,15.07
296,1983,10,23,0
297,1983,10,24,0
298,1983,10,25,0
299,1983,10,26,0
300,1983,10,27,0
301,1983,10,28,0
302,1983,10,29,0
303,1983,10,30,2.51
304,1983,10,31,0
305,1983,11,1,2.17
306,1983,11,2,0
307,1983,11,3,20.38
308,1983,11,4,72.99
309,1983,11,5,16.31
310,1983,11,6,15.12
311,1983,11,7,17.89
312,1983,11,8,0
313,1983,11,9,0.66
314,1983,11,10,5.64
315,1983,11,11,2.17
316,1983,11,12,0
317,1983,11,13,0
318,1983,11,14,0
319,1983,11,15,0.6
320,1983,11,16,0
321,1983,11,17,0
322,1983,11,18,0
323,1983,11,19,0
324,1983,11,20,0
325,1983,11,21,0
326,1983,11,22,0
327,1983,11,23,0
328,1983,11,24,0
329,1983,11,25,0
330,1983,11,26,0
331,1983,11,27,0
332,1983,11,28,0
333,1983,11,29,0
334,1983,11,30,0
335,1983,12,1,0
336,1983,12,2,70.9
337,1983,12,3,5.66
338,1983,12,4,0
339,1983,12,5,0
340,1983,12,6,0
341,1983,12,7,0
342,1983,12,8,4.57
343,1983,12,9,0
344,1983,12,10,0
345,1983,12,11,0
346,1983,12,12,0
347,1983,12,13,0
348,1983,12,14,0
349,1983,12,15,0
350,1983,12,16,0
351,1983,12,17,0
352,1983,12,18,0
353,1983,12,19,0
354,1983,12,20,0
355,1983,12,21,0
356,1983,12,22,2.69
357,1983,12,23,0
358,1983,12,24,0
359,1983,12,25,0
360,1983,12,26,0
361,1983,12,27,1.84
362,1983,12,28,0
363,1983,12,29,0
364,1983,12,30,0
365,1983,12,31,0
366,1984,1,1,0
367,1984,1,2,0
368,1984,1,3,0
369,1984,1,4,0
370,1984,1,5,0
371,1984,1,6,0
372,1984,1,7,0
373,1984,1,8,17.57
374,1984,1,9,52.87
375,1984,1,10,9.71
376,1984,1,11,0
377,1984,1,12,0
378,1984,1,13,3.97
379,1984,1,14,3.98
380,1984,1,15,0
381,1984,1,16,0
382,1984,1,17,0
383,1984,1,18,0
384,1984,1,19,0
385,1984,1,20,0
386,1984,1,21,0
387,1984,1,22,0
388,1984,1,23,0
389,1984,1,24,0
390,1984,1,25,0
391,1984,1,26,0
392,1984,1,27,0
393,1984,1,28,0
394,1984,1,29,0
395,1984,1,30,0
396,1984,1,31,0
397,1984,2,1,0
398,1984,2,2,0
399,1984,2,3,0
400,1984,2,4,0
401,1984,2,5,0
402,1984,2,6,0
403,1984,2,7,5.75
404,1984,2,8,0
405,1984,2,9,0
406,1984,2,10,0
407,1984,2,11,0
408,1984,2,12,0
409,1984,2,13,0
410,1984,2,14,0
411,1984,2,15,0
412,1984,2,16,13.74
413,1984,2,17,0
414,1984,2,18,0
415,1984,2,19,0
416,1984,2,20,0
417,1984,2,21,0
418,1984,2,22,0
419,1984,2,23,0
420,1984,2,24,0
421,1984,2,25,0
422,1984,2,26,0
423,1984,2,27,0
424,1984,2,28,0
425,1984,2,29,-9999
426,1984,3,1,0
427,1984,3,2,0
428,1984,3,3,0
429,1984,3,4,0
430,1984,3,5,0
431,1984,3,6,0
432,1984,3,7,0
433,1984,3,8,0
434,1984,3,9,0
435,1984,3,10,0
436,1984,3,11,0
437,1984,3,12,0
438,1984,3,13,0
439,1984,3,14,0
440,1984,3,15,0
441,1984,3,16,0
442,1984,3,17,0
443,1984,3,18,0
444,1984,3,19,0
445,1984,3,20,10.68
446,1984,3,21,0
447,1984,3,22,0
448,1984,3,23,0
449,1984,3,24,0
450,1984,3,25,0
451,1984,3,26,0
452,1984,3,27,0
453,1984,3,28,0
454,1984,3,29,0
455,1984,3,30,0
456,1984,3,31,0
457,1984,4,1,0
458,1984,4,2,0
459,1984,4,3,0
460,1984,4,4,0
461,1984,4,5,0
462,1984,4,6,0
463,1984,4,7,0
464,1984,4,8,0
465,1984,4,9,0
466,1984,4,10,0
467,1984,4,11,0
468,1984,4,12,0
469,1984,4,13,0
470,1984,4,14,0
471,1984,4,15,0
472,1984,4,16,0
473,1984,4,17,0
474,1984,4,18,0
475,1984,4,19,0
476,1984,4,20,0
477,1984,4,21,0
478,1984,4,22,0
479,1984,4,23,0
480,1984,4,24,0
481,1984,4,25,0
482,1984,4,26,0
483,1984,4,27,13.05
484,1984,4,28,6.96
485,1984,4,29,0
486,1984,4,30,0
487,1984,5,1,0
488,1984,5,2,0
489,1984,5,3,0
490,1984,5,4,0
491,1984,5,5,0
492,1984,5,6,0
493,1984,5,7,0
494,1984,5,8,0
495,1984,5,9,0
496,1984,5,10,0
497,1984,5,11,0
498,1984,5,12,0
499,1984,5,13,2.76
500,1984,5,14,0
501,1984,5,15,-9999
502,1984,5,16,4.36
503,1984,5,17,0
504,1984,5,18,54.71
505,1984,5,19,12.22
506,1984,5,20,7.48
507,1984,5,21,12.69
508,1984,5,22,9.16
509,1984,5,23,0
510,1984,5,24,3.11
511,1984,5,25,14.87
512,1984,5,26,95.84
513,1984,5,27,36.61
514,1984,5,28,22.69
515,1984,5,29,0
516,1984,5,30,0
517,1984,5,31,0
518,1984,6,1,1.32
519,1984,6,2,2.18
520,1984,6,3,1.36
521,1984,6,4,2.1
522,1984,6,5,11.05
523,1984,6,6,37.5
524,1984,6,7,1.43
525,1984,6,8,11.52
526,1984,6,9,12.17
527,1984,6,10,47.05
528,1984,6,11,20.61
529,1984,6,12,1.51
530,1984,6,13,3.57
531,1984,6,14,2.11
532,1984,6,15,0.65
533,1984,6,16,4.68
534,1984,6,17,17.89
535,1984,6,18,30.98
536,1984,6,19,8.87
537,1984,6,20,1.61
538,1984,6,21,13.99
539,1984,6,22,0.69
540,1984,6,23,0
541,1984,6,24,0
542,1984,6,25,0
543,1984,6,26,0
544,1984,6,27,0
545,1984,6,28,1.54
546,1984,6,29,0
547,1984,6,30,0
548,1984,7,1,2.84
549,1984,7,2,0.91
550,1984,7,3,3.69
551,1984,7,4,18.35
552,1984,7,5,72.6
553,1984,7,6,2.98
554,1984,7,7,0.9
555,1984,7,8,0
556,1984,7,9,0
557,1984,7,10,0
558,1984,7,11,2.15
559,1984,7,12,0
560,1984,7,13,0
561,1984,7,14,8.85
562,1984,7,15,1.83
563,1984,7,16,0
564,1984,7,17,5.15
565,1984,7,18,2.78
566,1984,7,19,12.15
567,1984,7,20,2.3
568,1984,7,21,14.41
569,1984,7,22,7.84
570,1984,7,23,0.75
571,1984,7,24,0
572,1984,7,25,0
573,1984,7,26,0.66
574,1984,7,27,1.14
575,1984,7,28,0.69
576,1984,7,29,3.59
577,1984,7,30,6.39
578,1984,7,31,0.59
579,1984,8,1,2.9
580,1984,8,2,25.55
581,1984,8,3,0
582,1984,8,4,14.2
583,1984,8,5,0.99
584,1984,8,6,0
585,1984,8,7,0
586,1984,8,8,0
587,1984,8,9,0
588,1984,8,10,0
589,1984,8,11,1.14
590,1984,8,12,4.28
591,1984,8,13,5.03
592,1984,8,14,1.12
593,1984,8,15,20.64
594,1984,8,16,10.35
595,1984,8,17,5.03
596,1984,8,18,5.27
597,1984,8,19,3.85
598,1984,8,20,0
599,1984,8,21,0
600,1984,8,22,20.74
601,1984,8,23,0
602,1984,8,24,0
603,1984,8,25,8.65
604,1984,8,26,8.87
605,1984,8,27,23.82
606,1984,8,28,2.56
607,1984,8,29,0
608,1984,8,30,0
609,1984,8,31,0.92
610,1984,9,1,1.7
611,1984,9,2,5.6
612,1984,9,3,3.29
613,1984,9,4,0
614,1984,9,5,30.36
615,1984,9,6,3.93
616,1984,9,7,0
617,1984,9,8,0
618,1984,9,9,9.2
619,1984,9,10,9.01
620,1984,9,11,15.17
621,1984,9,12,23.25
622,1984,9,13,24.74
623,1984,9,14,11.18
624,1984,9,15,24.01
625,1984,9,16,9.18
626,1984,9,17,37.99
627,1984,9,18,32.58
628,1984,9,19,21.49
629,1984,9,20,11.99
630,1984,9,21,25.26
631,1984,9,22,0.45
632,1984,9,23,2.59
633,1984,9,24,2.83
634,1984,9,25,0
635,1984,9,26,0
636,1984,9,27,0
637,1984,9,28,0
638,1984,9,29,7.3
639,1984,9,30,3.65
640,1984,10,1,13.84
641,1984,10,2,13.32
642,1984,10,3,15.98
643,1984,10,4,2.36
644,1984,10,5,9.13
645,1984,10,6,6.53
646,1984,10,7,2.08
647,1984,10,8,15.05
648,1984,10,9,31.4
649,1984,10,10,14.18
650,1984,10,11,6.49
651,1984,10,12,0
652,1984,10,13,3.49
653,1984,10,14,0.91
654,1984,10,15,12.39
655,1984,10,16,16.9
656,1984,10,17,22.62
657,1984,10,18,8.12
658,1984,10,19,6.92
659,1984,10,20,11.1
660,1984,10,21,10.5
661,1984,10,22,0
662,1984,10,23,0
663,1984,10,24,0
664,1984,10,25,40.94
665,1984,10,26,2.39
666,1984,10,27,3.81
667,1984,10,28,0
668,1984,10,29,0
669,1984,10,30,0
670,1984,10,31,2.91
671,1984,11,1,2.25
672,1984,11,2,14.54
673,1984,11,3,76.79
674,1984,11,4,33.97
675,1984,11,5,30.07
676,1984,11,6,30.74
677,1984,11,7,31.46
678,1984,11,8,7.9
679,1984,11,9,0
680,1984,11,10,0
681,1984,11,11,0
682,1984,11,12,0
683,1984,11,13,1.19
684,1984,11,14,0.51
685,1984,11,15,0
686,1984,11,16,0
687,1984,11,17,0
688,1984,11,18,0
689,1984,11,19,0
690,1984,11,20,0
691,1984,11,21,0
692,1984,11,22,0
693,1984,11,23,0
694,1984,11,24,0.6
695,1984,11,25,1.86
696,1984,11,26,3.4
697,1984,11,27,0
698,1984,11,28,0
699,1984,11,29,0
700,1984,11,30,0
701,1984,12,1,0
702,1984,12,2,9.34
703,1984,12,3,0
704,1984,12,4,0
705,1984,12,5,0
706,1984,12,6,0
707,1984,12,7,0
708,1984,12,8,0
709,1984,12,9,0
710,1984,12,10,0
711,1984,12,11,6.69
712,1984,12,12,0
713,1984,12,13,0
714,1984,12,14,0
715,1984,12,15,0
716,1984,12,16,0
717,1984,12,17,0
718,1984,12,18,0
719,1984,12,19,0
720,1984,12,20,0
721,1984,12,21,0
722,1984,12,22,0
723,1984,12,23,0
724,1984,12,24,29.24
725,1984,12,25,0
726,1984,12,26,0
727,1984,12,27,0
728,1984,12,28,0
729,1984,12,29,0
730,1984,12,30,0
731,1984,12,31,0
732,1985,1,1,0
733,1985,1,2,0
734,1985,1,3,0
735,1985,1,4,0
736,1985,1,5,0
737,1985,1,6,0
738,1985,1,7,0
739,1985,1,8,0
740,1985,1,9,0
741,1985,1,10,0
742,1985,1,11,0
743,1985,1,12,0
744,1985,1,13,0
745,1985,1,14,0
746,1985,1,15,0
747,1985,1,16,0
748,1985,1,17,0
749,1985,1,18,0
750,1985,1,19,0
751,1985,1,20,0
752,1985,1,21,0
753,1985,1,22,0
754,1985,1,23,0
755,1985,1,24,0
756,1985,1,25,0
757,1985,1,26,0
758,1985,1,27,0
759,1985,1,28,0
760,1985,1,29,0
761,1985,1,30,0
762,1985,1,31,0
763,1985,2,1,0
764,1985,2,2,0
765,1985,2,3,0
766,1985,2,4,0
767,1985,2,5,0
768,1985,2,6,0
769,1985,2,7,0
770,1985,2,8,0
771,1985,2,9,0
772,1985,2,10,0
773,1985,2,11,0
774,1985,2,12,0
775,1985,2,13,0
776,1985,2,14,0
777,1985,2,15,0
778,1985,2,16,16.64
779,1985,2,17,0
780,1985,2,18,0
781,1985,2,19,0
782,1985,2,20,0
783,1985,2,21,0
784,1985,2,22,8.12
785,1985,2,23,0
786,1985,2,24,0
787,1985,2,25,0
788,1985,2,26,20.06
789,1985,2,27,39.59
790,1985,2,28,0
791,1985,3,1,0
792,1985,3,2,0
793,1985,3,3,0
794,1985,3,4,0
795,1985,3,5,0
796,1985,3,6,7.06
797,1985,3,7,32.1
798,1985,3,8,6.49
799,1985,3,9,0
800,1985,3,10,0
801,1985,3,11,0
802,1985,3,12,0
803,1985,3,13,0
804,1985,3,14,0
805,1985,3,15,0
806,1985,3,16,0
807,1985,3,17,0
808,1985,3,18,0
809,1985,3,19,0
810,1985,3,20,0
811,1985,3,21,0
812,1985,3,22,0
813,1985,3,23,0
814,1985,3,24,0
815,1985,3,25,0
816,1985,3,26,0
817,1985,3,27,0
818,1985,3,28,0
819,1985,3,29,26.25
820,1985,3,30,0
821,1985,3,31,0
822,1985,4,1,0
823,1985,4,2,0
824,1985,4,3,0
825,1985,4,4,0
826,1985,4,5,0
827,1985,4,6,0
828,1985,4,7,0
829,1985,4,8,0
830,1985,4,9,0
831,1985,4,10,0
832,1985,4,11,0
833,1985,4,12,0
834,1985,4,13,0
835,1985,4,14,0
836,1985,4,15,0
837,1985,4,16,0
838,1985,4,17,0
839,1985,4,18,0
840,1985,4,19,0
841,1985,4,20,0
842,1985,4,21,0
843,1985,4,22,74.38
844,1985,4,23,38.55
845,1985,4,24,10
846,1985,4,25,0
847,1985,4,26,0
848,1985,4,27,0
849,1985,4,28,0
850,1985,4,29,0
851,1985,4,30,0
852,1985,5,1,0
853,1985,5,2,10.41
854,1985,5,3,2.88
855,1985,5,4,0
856,1985,5,5,0
857,1985,5,6,0
858,1985,5,7,13.84
859,1985,5,8,3.27
860,1985,5,9,0
861,1985,5,10,0
862,1985,5,11,0
863,1985,5,12,6.58
864,1985,5,13,36.8
865,1985,5,14,17.06
866,1985,5,15,25.15
867,1985,5,16,20.56
868,1985,5,17,85.58
869,1985,5,18,238.26
870,1985,5,19,7.47
871,1985,5,20,0
872,1985,5,21,0
873,1985,5,22,0
874,1985,5,23,0
875,1985,5,24,0
876,1985,5,25,0
877,1985,5,26,0
878,1985,5,27,0
879,1985,5,28,0
880,1985,5,29,0
881,1985,5,30,3.65
882,1985,5,31,0
883,1985,6,1,0
884,1985,6,2,3.63
885,1985,6,3,0
886,1985,6,4,3.52
887,1985,6,5,0
888,1985,6,6,3.56
889,1985,6,7,6.75
890,1985,6,8,18.8
891,1985,6,9,1.06
892,1985,6,10,0
893,1985,6,11,0
894,1985,6,12,0
895,1985,6,13,0
896,1985,6,14,0
897,1985,6,15,1.52
898,1985,6,16,0
899,1985,6,17,0
900,1985,6,18,0
901,1985,6,19,0
902,1985,6,20,4.76
903,1985,6,21,2.61
904,1985,6,22,6.53
905,1985,6,23,7.92
906,1985,6,24,0
907,1985,6,25,0
908,1985,6,26,4.27
909,1985,6,27,0
910,1985,6,28,0
911,1985,6,29,0
912,1985,6,30,0
913,1985,7,1,15.97
914,1985,7,2,2.08
915,1985,7,3,0
916,1985,7,4,0
917,1985,7,5,0
918,1985,7,6,0
919,1985,7,7,0
920,1985,7,8,9.53
921,1985,7,9,0
922,1985,7,10,1.92
923,1985,7,11,0
924,1985,7,12,0
925,1985,7,13,2.75
926,1985,7,14,0
927,1985,7,15,28.67
928,1985,7,16,7.02
929,1985,7,17,7.15
930,1985,7,18,0
931,1985,7,19,0
932,1985,7,20,12.15
933,1985,7,21,2.1
934,1985,7,22,0
935,1985,7,23,2.71
936,1985,7,24,1.56
937,1985,7,25,2.92
938,1985,7,26,4.23
939,1985,7,27,2.44
940,1985,7,28,10.04
941,1985,7,29,14.82
942,1985,7,30,0.78
943,1985,7,31,0
944,1985,8,1,0
945,1985,8,2,0
946,1985,8,3,0
947,1985,8,4,2.54
948,1985,8,5,4.02
949,1985,8,6,0.96
950,1985,8,7,0
951,1985,8,8,5.22
952,1985,8,9,20.57
953,1985,8,10,2.8
954,1985,8,11,0
955,1985,8,12,1.8
956,1985,8,13,49.36
957,1985,8,14,1.79
958,1985,8,15,0
959,1985,8,16,0
960,1985,8,17,0
961,1985,8,18,6.36
962,1985,8,19,0.8
963,1985,8,20,2.31
964,1985,8,21,9.25
965,1985,8,22,1.92
966,1985,8,23,0
967,1985,8,24,0
968,1985,8,25,3.15
969,1985,8,26,3.45
970,1985,8,27,34.9
971,1985,8,28,12.51
972,1985,8,29,1.5
973,1985,8,30,1.2
974,1985,8,31,1.74
975,1985,9,1,0
976,1985,9,2,16.43
977,1985,9,3,0.79
978,1985,9,4,0
979,1985,9,5,11.5
980,1985,9,6,7.79
981,1985,9,7,2.56
982,1985,9,8,6.47
983,1985,9,9,14.8
984,1985,9,10,5.47
985,1985,9,11,2.77
986,1985,9,12,17.72
987,1985,9,13,38.88
988,1985,9,14,7.35
989,1985,9,15,8.05
990,1985,9,16,0
991,1985,9,17,3.29
992,1985,9,18,0
993,1985,9,19,0
994,1985,9,20,0
995,1985,9,21,3.59
996,1985,9,22,2.39
997,1985,9,23,2.28
998,1985,9,24,13.21
999,1985,9,25,2.95
1000,1985,9,26,0
1001,1985,9,27,0.79
1002,1985,9,28,11.48
1003,1985,9,29,18.71
1004,1985,9,30,28.25
1005,1985,10,1,12.31
1006,1985,10,2,23.11
1007,1985,10,3,1.17
1008,1985,10,4,2.29
1009,1985,10,5,32.65
1010,1985,10,6,98.28
1011,1985,10,7,124.97
1012,1985,10,8,25.12
1013,1985,10,9,0
1014,1985,10,10,0
1015,1985,10,11,1.08
1016,1985,10,12,0
1017,1985,10,13,0
1018,1985,10,14,0
1019,1985,10,15,0
1020,1985,10,16,0
1021,1985,10,17,1.07
1022,1985,10,18,8.39
1023,1985,10,19,1.98
1024,1985,10,20,1.48
1025,1985,10,21,4.2
1026,1985,10,22,26.03
1027,1985,10,23,41.31
1028,1985,10,24,25.87
1029,1985,10,25,24.75
1030,1985,10,26,19.76
1031,1985,10,27,10.34
1032,1985,10,28,1.25
1033,1985,10,29,0.81
1034,1985,10,30,10.51
1035,1985,10,31,0
1036,1985,11,1,2.01
1037,1985,11,2,14.45
1038,1985,11,3,18.89
1039,1985,11,4,30.56
1040,1985,11,5,0
1041,1985,11,6,5.89
1042,1985,11,7,0
1043,1985,11,8,0
1044,1985,11,9,0
1045,1985,11,10,0
1046,1985,11,11,0
1047,1985,11,12,25.9
1048,1985,11,13,5.35
1049,1985,11,14,0
1050,1985,11,15,20.66
1051,1985,11,16,7.23
1052,1985,11,17,11.05
1053,1985,11,18,0
1054,1985,11,19,0
1055,1985,11,20,0
1056,1985,11,21,0
1057,1985,11,22,0
1058,1985,11,23,0
1059,1985,11,24,0
1060,1985,11,25,0
1061,1985,11,26,0
1062,1985,11,27,0
1063,1985,11,28,0
1064,1985,11,29,0
1065,1985,11,30,0
1066,1985,12,1,0
1067,1985,12,2,0
1068,1985,12,3,0
1069,1985,12,4,0
1070,1985,12,5,45.18
1071,1985,12,6,0
1072,1985,12,7,0
1073,1985,12,8,0
1074,1985,12,9,0
1075,1985,12,10,0
1076,1985,12,11,0
1077,1985,12,12,0
1078,1985,12,13,0
1079,1985,12,14,0
1080,1985,12,15,0
1081,1985,12,16,0
1082,1985,12,17,0
1083,1985,12,18,0
1084,1985,12,19,0
1085,1985,12,20,0
1086,1985,12,21,0
1087,1985,12,22,0
1088,1985,12,23,0
1089,1985,12,24,0
1090,1985,12,25,0
1091,1985,12,26,0
1092,1985,12,27,0
1093,1985,12,28,0
1094,1985,12,29,0
1095,1985,12,30,0
1096,1985,12,31,0
1097,1986,1,1,0
1098,1986,1,2,0
1099,1986,1,3,0
1100,1986,1,4,0
1101,1986,1,5,0
1102,1986,1,6,0
1103,1986,1,7,0
1104,1986,1,8,0
1105,1986,1,9,0
1106,1986,1,10,0
1107,1986,1,11,0
1108,1986,1,12,0
1109,1986,1,13,0
1110,1986,1,14,0
1111,1986,1,15,0
1112,1986,1,16,0
1113,1986,1,17,0
1114,1986,1,18,0
1115,1986,1,19,0
1116,1986,1,20,0
1117,1986,1,21,0
1118,1986,1,22,0
1119,1986,1,23,0
1120,1986,1,24,0
1121,1986,1,25,0
1122,1986,1,26,0
1123,1986,1,27,0
1124,1986,1,28,0
1125,1986,1,29,0
1126,1986,1,30,9.52
1127,1986,1,31,0
1128,1986,2,1,0
1129,1986,2,2,0
1130,1986,2,3,0
1131,1986,2,4,0
1132,1986,2,5,0
1133,1986,2,6,0
1134,1986,2,7,0
1135,1986,2,8,0
1136,1986,2,9,0
1137,1986,2,10,0
1138,1986,2,11,0
1139,1986,2,12,0
1140,1986,2,13,0
1141,1986,2,14,0
1142,1986,2,15,0
1143,1986,2,16,0
1144,1986,2,17,0
1145,1986,2,18,0
1146,1986,2,19,0
1147,1986,2,20,14.94
1148,1986,2,21,29.62
1149,1986,2,22,0
1150,1986,2,23,0
1151,1986,2,24,0
1152,1986,2,25,0
1153,1986,2,26,0
1154,1986,2,27,0
1155,1986,2,28,0
1156,1986,3,1,0
1157,1986,3,2,0
1158,1986,3,3,0
1159,1986,3,4,0
1160,1986,3,5,0
1161,1986,3,6,0
1162,1986,3,7,0
1163,1986,3,8,0
1164,1986,3,9,0
1165,1986,3,10,0
1166,1986,3,11,0
1167,1986,3,12,0
1168,1986,3,13,0
1169,1986,3,14,0
1170,1986,3,15,0
